District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
"NC, M    ",7520.0,4257,34,0,3228,411,7109.0,2009
"NC, W    ",8518.0,6016,99,4,2399,412,8106.0,2009
SC       ,9799.0,4830,112,4,4853,446,9353.0,2009
"VA, E    ",26944.0,18255,247,0,8441,948,25996.0,2009
"VA, W    ",9587.0,6708,38,3,2838,245,9342.0,2009
"WV, N    ",3052.0,2736,16,1,299,136,2916.0,2009
"WV, S    ",3608.0,3282,25,0,301,66,3542.0,2009
     5TH ,88916.0,42948,1461,37,44462,5920,82996.0,2009
"LA, E    ",4345.0,2412,53,2,1878,261,4084.0,2009
"LA, M    ",2069.0,1192,24,1,852,107,1962.0,2009
"LA, W    ",12366.0,3194,71,8,9093,501,11865.0,2009
"MS, N    ",7048.0,3702,30,4,3312,198,6850.0,2009
"MS, S    ",7653.0,4323,37,2,3290,286,7367.0,2009
"TX, N    ",20368.0,9948,450,9,9960,1706,18662.0,2009
"TX, E    ",7433.0,4215,99,4,3115,591,6842.0,2009
"TX, S    ",13879.0,6582,370,6,6920,1157,12722.0,2009
"TX, W    ",13755.0,7380,327,1,6042,1113,12642.0,2009
    6TH  ,219765.0,159389,990,74,59311,5995,213770.0,2009
"KY, E    ",12685.0,9654,43,2,2986,295,12390.0,2009
"KY, W    ",12536.0,9461,58,7,3010,307,12229.0,2009
"MI, E    ",52977.0,43915,193,11,8858,1439,51538.0,2009
"MI, W    ",16369.0,14420,66,16,1867,642,15727.0,2009
"OH, N    ",38121.0,31399,142,3,6577,1104,37017.0,2009
"OH, S    ",32666.0,23285,99,6,9276,935,31731.0,2009
"TN, E    ",19369.0,12289,97,20,6963,485,18884.0,2009
"TN, M    ",15045.0,8925,214,7,5898,564,14481.0,2009
"TN, W    ",19997.0,6041,78,2,13876,224,19773.0,2009
     7TH ,150284.0,114101,733,38,35405,4243,146041.0,2009
"IL, N    ",56831.0,43437,384,2,13007,1995,54836.0,2009
"IL, C    ",10769.0,8458,30,5,2276,250,10519.0,2009
"IL, S    ",6644.0,4131,30,3,2479,221,6423.0,2009
"IN, N    ",19266.0,15320,64,0,3882,342,18924.0,2009
"IN, S    ",28972.0,20223,100,5,8644,607,28365.0,2009
"WI, E    ",18894.0,14683,81,5,4120,519,18375.0,2009
"WI, W    ",8908.0,7849,44,18,997,309,8599.0,2009
     8TH ,90539.0,68935,391,67,21141,3194,87345.0,2009
"AR, E    ",9799.0,5009,42,8,4740,282,9517.0,2009
"AR, W    ",6784.0,4129,54,5,2596,337,6447.0,2009
"IA, N    ",3796.0,3612,9,3,170,165,3631.0,2009
"IA, S    ",6375.0,5742,12,2,619,219,6156.0,2009
MN       ,21456.0,18499,96,13,2848,859,20597.0,2009
"MO, E    ",16018.0,11920,40,3,4055,401,15617.0,2009
"MO, W    ",15285.0,11443,76,8,3758,432,14853.0,2009
NE       ,7557.0,5495,41,22,1996,318,7239.0,2009
ND       ,1593.0,1418,6,2,167,65,1528.0,2009
SD       ,1876.0,1668,15,1,192,116,1760.0,2009
     9TH ,339005.0,263343,3342,97,72196,14110,324895.0,2009
AK       ,998.0,825,21,1,151,104,894.0,2009
AZ       ,34637.0,28391,613,6,5627,1615,33022.0,2009
"CA, N    ",33025.0,22231,379,8,10407,1674,31351.0,2009
"CA, E    ",47418.0,39169,226,25,7997,1549,45869.0,2009
"CA, C    ",108647.0,83656,1126,9,23853,5108,103539.0,2009
"CA, S    ",20728.0,17051,115,3,3556,681,20047.0,2009
HI       ,3123.0,2503,18,1,600,113,3010.0,2009
ID       ,7704.0,6789,51,10,854,381,7323.0,2009
MT       ,2771.0,2324,32,10,405,150,2621.0,2009
NV       ,29808.0,21519,445,0,7844,978,28830.0,2009
OR       ,18380.0,14331,59,9,3981,593,17787.0,2009
"WA, E    ",7320.0,5844,50,8,1418,257,7063.0,2009
"WA, W    ",24217.0,18493,205,7,5493,901,23316.0,2009
GUAM     ,221.0,210,2,0,9,6,215.0,2009
NMI      ,8.0,7,0,0,1,0,8.0,2009
     10TH,75813.0,59806,500,44,15461,3457,72356.0,2009
CO       ,28304.0,23955,187,10,4152,1421,26883.0,2009
KS       ,10996.0,7668,87,15,3226,389,10607.0,2009
NM       ,6124.0,5610,49,4,460,302,5822.0,2009
"OK, N    ",4225.0,3832,10,0,383,205,4020.0,2009
"OK, E    ",2334.0,2077,6,1,249,87,2247.0,2009
"OK, W    ",7650.0,5898,51,8,1693,302,7348.0,2009
UT       ,14829.0,9611,91,5,5122,670,14159.0,2009
WY       ,1351.0,1155,19,1,176,81,1270.0,2009
     11TH,207231.0,127783,1681,95,77662,8767,198464.0,2009
"AL, N    ",20333.0,10079,120,5,10129,469,19864.0,2009
"AL, M    ",8434.0,2644,37,3,5750,210,8224.0,2009
"AL, S    ",6232.0,1954,64,1,4212,140,6092.0,2009
"FL, N    ",5390.0,4629,34,8,719,329,5061.0,2009
"FL, M    ",61671.0,45537,644,34,15453,3131,58540.0,2009
"FL, S    ",30026.0,22383,284,1,7352,1469,28557.0,2009
"GA, N    ",51018.0,32275,371,4,18368,2240,48778.0,2009
"GA, M    ",12791.0,5375,52,28,7336,458,12333.0,2009
"GA, S    ",11336.0,2907,75,11,8343,321,11015.0,2009
CHAPTER 9,,,CHAPTER 15,,,,,2009
"NY, S    ",1.0,023,MA       ,3,011,,,2009
"PA, E    ",1.0,032,CT       ,1,020,,,2009
"PA, M    ",1.0,033,"NY, E    ",2,022,,,2009
"MS, S    ",1.0,054,"NY, S    ",34,023,,,2009
"IL, S    ",1.0,072,DE       ,26,030,,,2009
NE       ,3.0,087,NJ       ,16,031,,,2009
"CA, E    ",1.0,09D,"PA, W    ",1,034,,,2009
NM       ,1.0,10C,"NC, M    ",1,042,,,2009
"OK, E    ",1.0,10E,"VA, E    ",1,046,,,2009
"AL, S    ",1.0,11C,"TX, N    ",1,055,,,2009
,,,"TX, S    ",1,057,,,2009
,,,"TX, W    ",5,058,,,2009
,,,"TN, M    ",1,068,,,2009
,,,"IL, N    ",1,070,,,2009
,,,"WI, E    ",5,075,,,2009
,,,"IA, N    ",2,082,,,2009
,,,"CA, C    ",3,09E,,,2009
,,,"CA, S    ",3,09F,,,2009
,,,HI       ,1,09G,,,2009
,,,"WA, W    ",19,09M,,,2009
,,,"FL, M    ",3,11E,,,2009
,,,"FL, S    ",6,11F,,,2009
"NY, S    ",13769.0,10592,1020,3,2123,1431.0,12338.0,2010
"NY, W    ",8762.0,6354,35,2,2370,273.0,8489.0,2010
VT       ,1651.0,1313,9,4,325,69.0,1582.0,2010
    3RD  ,84924.0,62128,1521,35,21178,3804.0,81120.0,2010
DE       ,4273.0,2502,816,2,903,973.0,3300.0,2010
NJ       ,41365.0,31839,343,6,9177,1422.0,39943.0,2010
"PA, E    ",15162.0,10177,151,7,4816,561.0,14601.0,2010
"PA, M    ",10716.0,7579,38,9,3089,305.0,10411.0,2010
"PA, W    ",13384.0,10014,170,11,3189,535.0,12849.0,2010
VI       ,24.0,17,3,0,4,8.0,16.0,2010
     4TH ,109166.0,71556,1006,36,36567,3969.0,105197.0,2010
MD       ,29698.0,21959,276,7,7456,832.0,28866.0,2010
"NC, E    ",10760.0,4169,158,15,6418,522.0,10238.0,2010
"NC, M    ",7160.0,3842,36,0,3282,419.0,6741.0,2010
"NC, W    ",8754.0,6341,117,3,2293,468.0,8286.0,2010
SC       ,9353.0,4703,87,2,4560,389.0,8964.0,2010
"VA, E    ",28419.0,18849,235,5,9330,884.0,27535.0,2010
"VA, W    ",8892.0,6256,39,4,2593,220.0,8672.0,2010
"WV, N    ",2737.0,2386,27,0,324,134.0,2603.0,2010
"WV, S    ",3393.0,3051,31,0,311,101.0,3292.0,2010
     5TH ,91727.0,43557,1357,65,46744,5334.0,86393.0,2010
"LA, E    ",4873.0,2616,55,0,2202,283.0,4590.0,2010
"LA, M    ",2086.0,1164,17,1,904,76.0,2010.0,2010
"LA, W    ",12200.0,3649,70,10,8471,401.0,11799.0,2010
"MS, N    ",6509.0,3415,27,17,3050,205.0,6304.0,2010
"MS, S    ",7820.0,4586,48,3,3183,260.0,7560.0,2010
"TX, N    ",20751.0,9819,374,14,10544,1470.0,19281.0,2010
"TX, E    ",7873.0,4326,131,4,3411,580.0,7293.0,2010
"TX, S    ",15972.0,6686,390,13,8880,1151.0,14821.0,2010
"TX, W    ",13643.0,7296,245,3,6099,908.0,12735.0,2010
    6TH  ,214336.0,155950,804,70,57512,5286.0,209050.0,2010
"KY, E    ",12386.0,9379,39,6,2962,283.0,12103.0,2010
"KY, W    ",12462.0,9236,49,7,3170,247.0,12215.0,2010
"MI, E    ",52102.0,43550,175,12,8365,1315.0,50787.0,2010
"MI, W    ",16494.0,14343,49,16,2086,561.0,15933.0,2010
"OH, N    ",38046.0,31297,103,5,6641,952.0,37094.0,2010
"OH, S    ",32595.0,22844,60,8,9683,827.0,31768.0,2010
"TN, E    ",17341.0,10941,100,12,6288,409.0,16932.0,2010
