Year,FIPS,Unemployment,LaborForce
2000,72137,7.370375660619912,35005.0
2000,72129,10.866956652167392,13334.0
2000,72127,7.379080720196438,173897.0
2000,72125,13.371196754563893,12325.0
2000,72123,13.828888620731266,8287.0
2000,72121,12.168617148316217,8374.0
2000,72119,11.477829603825942,16937.0
2000,72117,13.00041271151465,4846.0
2000,72115,11.770561154659699,8037.0
2000,72113,11.579733767997826,58896.0
2000,72111,14.380530973451327,7684.0
2000,72109,14.526394608760764,5342.0
2000,72107,13.546276698095056,5197.0
2000,72105,9.304544912322557,8383.0
2000,72103,12.13307240704501,7154.0
2000,72101,12.941037177362064,8446.0
2000,72099,12.989972652689152,13164.0
2000,72097,12.34022702534598,32155.0
2000,72095,14.346590909090908,3520.0
2000,72093,12.220149253731345,2144.0
2000,72089,12.822049131216298,6676.0
2000,72041,10.472514118235758,13989.0
2000,72131,14.12490141249014,13947.0
2000,72039,14.207980652962515,4962.0
2000,72133,11.712293388429753,7744.0
2000,72087,11.64090368608799,8410.0
2000,72079,12.892418414195308,8059.0
2000,72077,10.90475379110581,11738.0
2000,72075,12.583412774070544,14686.0
2000,72073,12.51905072937078,4593.0
2000,72071,14.022424667133848,14270.0
2000,72069,12.243673101930579,19994.0
2000,72067,10.590789269654211,6449.0
2000,72065,11.205649621373267,11753.0
2000,72063,8.861326957561268,13384.0
2000,72061,5.522278026079344,43406.0
2000,72059,15.619077700568539,6332.0
2000,72057,12.787764112267425,12684.0
2000,72055,15.77152600170503,5865.0
2000,72054,12.540476891374741,3397.0
2000,72053,11.83411296516093,14323.0
2000,72051,8.090506804709026,11977.0
2000,72049,5.897435897435897,780.0
2000,72047,9.936575052854122,9933.0
2000,72045,12.030540652084193,4846.0
2000,72085,12.161924833157709,11388.0
2000,72043,11.565951916829109,10773.0
2000,72091,13.365363616510157,13737.0
2000,72081,11.476372174933958,10221.0
2000,72037,10.727241319744344,5789.0
2000,56027,3.577235772357724,1230.0
2000,72031,7.8910641850030645,76669.0
2000,72029,11.968562874251496,13360.0
2000,72027,10.519148936170213,11750.0
2000,72025,9.25302571860817,52880.0
2000,72023,9.638006478376997,17597.0
2000,72021,7.578190533253445,83450.0
2000,72019,10.914051841746248,7330.0
2000,72017,12.788379379094275,7022.0
2000,54041,5.939788445890969,7374.0
2000,72015,14.577954319761668,5035.0
2000,72011,12.509008545248637,9713.0
2000,72009,11.711006781429317,7668.0
2000,72007,10.00228102189781,8768.0
2000,72005,13.212013611480987,20277.0
2000,72003,13.11662389506701,14028.0
2000,72001,12.48797383105638,5197.0
2000,56045,4.171741778319123,3284.0
2000,56043,4.5253090739444835,4287.0
2000,56041,3.937007874015748,10414.0
2000,56039,2.371513521166643,14126.0
2000,72013,11.175030599755202,32680.0
2000,72033,9.346859683118659,8773.0
2000,56029,3.9538945162417045,14315.0
2000,72035,11.358560398187736,15671.0
2000,56035,2.9055007052186177,3545.0
2000,56025,3.8352624199268686,36373.0
2000,56023,3.809393773894047,7324.0
2000,56021,3.6745799945081004,40059.0
2000,56019,3.6527114357965718,3559.0
2000,56017,3.571428571428571,2632.0
2000,56015,3.567984570877531,6222.0
2000,56013,5.090722939537,17581.0
2000,56011,3.578214059531349,3158.0
2000,56009,3.8602380225816293,6554.0
2000,56007,4.095309009679822,8058.0
2000,56005,3.0066084850930737,19823.0
2000,56003,4.949933874929151,5293.0
2000,56001,3.287596048298573,18220.0
2000,55141,3.8208619551665977,40907.0
2000,55139,2.718888356065084,89669.0
2000,55137,4.13524277603593,11801.0
2000,55135,3.3175185105312344,27822.0
2000,55133,2.681784944398545,210606.0
2000,55131,2.7672793907117907,69852.0
2000,56031,3.967704728950404,4335.0
2000,56033,3.9079520697167753,14688.0
2000,56037,3.8840129951995346,20623.0
2000,72083,13.918390162101732,3578.0
2000,55129,5.046215338496128,8006.0
2000,55127,2.8712211025489034,53984.0
2000,55119,3.714155666818389,10985.0
2000,55117,2.4818289122196684,64388.0
2000,55115,3.5725619984585393,22057.0
2000,55113,5.241313885924344,8433.0
2000,55111,2.949852507374631,33222.0
2000,55109,2.3788174481776463,37918.0
2000,55107,5.144084934277047,7912.0
2000,55105,4.141653756777692,82624.0
2000,55103,3.4299968818210167,9621.0
2000,55101,3.890061300371822,99510.0
2000,55099,5.012531328320802,8379.0
2000,55097,3.4344635104403554,38696.0
2000,55095,3.3176398116777404,22727.0
2000,55093,2.5233276383230385,22827.0
2000,55091,3.470273028833886,3919.0
2000,55089,2.476278639203888,47531.0
2000,55087,2.8829756427169473,93237.0
2000,55085,4.873106732181753,19741.0
2000,55083,3.5006435006435006,19425.0
2000,55081,3.6540860165380886,21647.0
2000,55078,8.780487804878048,1640.0
2000,55121,3.9214415348716622,15428.0
2000,55123,3.689523146536721,14365.0
2000,55079,4.243197207561735,476716.0
2000,55031,4.27102557342473,22758.0
2000,55071,3.2131844763423714,47025.0
2000,55069,4.11662746069085,16154.0
2000,55067,4.556399333209854,10798.0
2000,55065,2.9178007621121393,9185.0
2000,55063,3.1702072201225078,61384.0
2000,55061,2.643589081202101,11613.0
2000,55059,3.9947083405454857,80882.0
2000,55057,4.916113928989466,12815.0
2000,55055,2.87846235590362,43287.0
2000,55053,4.5361875637105,9810.0
2000,55051,6.791067604772101,3269.0
2000,55049,2.798739834420104,13649.0
2000,55047,3.911707180776753,10737.0
2000,55045,3.1264023934181004,20055.0
2000,55043,3.280299996359268,27467.0
2000,55041,5.642903295283222,4643.0
2000,55039,2.997812600853444,55774.0
2000,55037,4.082411293399465,2621.0
