ZCTA5,NAME,POP100,AREALAND,AREALAND_MILES,DENSITY,YEAR
601,ZCTA5 00601,18570.0,166659744,64.34768690179041,288.5884620583511,2010
602,ZCTA5 00602,41520.0,79307538,30.620811611086147,1355.940545513426,2010
603,ZCTA5 00603,54689.0,81887203,31.616825835922032,1729.7435322512388,2010
606,ZCTA5 00606,6615.0,109579950,42.30905522880107,156.34950873346295,2010
610,ZCTA5 00610,29016.0,93013430,35.91268609713932,807.959614090557,2010
612,ZCTA5 00612,67010.0,175065114,67.59301840220182,991.374576605935,2010
616,ZCTA5 00616,11017.0,29862630,11.530025902979986,955.5052254611682,2010
617,ZCTA5 00617,24597.0,39355368,15.195192535329596,1618.7356588480682,2010
622,ZCTA5 00622,7853.0,75090752,28.992701434342727,270.86127237173855,2010
623,ZCTA5 00623,43061.0,98335000,37.96735576101425,1134.158519519972,2010
624,ZCTA5 00624,26241.0,111794963,43.164276529317384,607.9332751512003,2010
627,ZCTA5 00627,35159.0,120058676,46.354913956255075,758.474064544255,2010
631,ZCTA5 00631,1852.0,10414669,4.02112618148377,460.56749189517444,2010
637,ZCTA5 00637,25287.0,89222626,34.44904849009935,734.0405935237218,2010
638,ZCTA5 00638,18941.0,171055425,66.04486882418763,286.78987992876796,2010
641,ZCTA5 00641,31191.0,242243041,93.53056102381615,333.4845814947874,2010
646,ZCTA5 00646,38199.0,53681613,20.72658665374574,1842.9952137389982,2010
647,ZCTA5 00647,6172.0,39379843,15.204642385660106,405.928652805473,2010
650,ZCTA5 00650,14998.0,79052766,30.522443591948047,491.376123108195,2010
652,ZCTA5 00652,4715.0,17915348,6.917154533974425,681.6386675824168,2010
653,ZCTA5 00653,13307.0,39477260,15.242255299639572,873.033533319355,2010
656,ZCTA5 00656,21481.0,83954595,32.415050349691036,662.6859982713167,2010
659,ZCTA5 00659,41953.0,108200655,41.776506452023845,1004.2247081665107,2010
660,ZCTA5 00660,17250.0,29384892,11.345570229958627,1520.4171892965228,2010
662,ZCTA5 00662,43282.0,114927972,44.373938066973956,975.392356086902,2010
664,ZCTA5 00664,16784.0,117897681,45.52054912213932,368.71259955510845,2010
667,ZCTA5 00667,25968.0,156209677,60.31289347609828,430.55470403340865,2010
669,ZCTA5 00669,29744.0,159419232,61.55210958958323,483.23282822192215,2010
670,ZCTA5 00670,9807.0,118025321,45.56983120165664,215.20817043631,2010
674,ZCTA5 00674,44457.0,116433919,44.955387454335856,988.9137324232362,2010
676,ZCTA5 00676,40316.0,130630335,50.43665431560961,799.3393008925777,2010
677,ZCTA5 00677,15272.0,37137332,14.338804047987988,1065.0818540297269,2010
678,ZCTA5 00678,27819.0,68274032,26.360751128111772,1055.3189423473261,2010
