,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
lob.com,20,0,0,0,0,0,0,0,0,0,29,0,21,0,0,18,0,0,34,13,0,0,15,28,38,0,17,0,0,0,0,0,31,0,100,0,0,0,0,0,20,0,0,0,14,27,14,59,0,0,0
amenitiz,39,65,35,47,56,42,29,54,53,21,60,0,53,38,36,28,69,59,72,69,44,51,60,77,66,53,62,56,33,84,75,68,74,71,100,71,69,58,89,69,78,70,75,92,97,79,53,72,78,56,96
moodify,0,57,48,0,81,59,0,29,0,36,16,54,19,42,25,41,55,33,0,24,50,26,0,29,0,0,59,0,34,26,28,42,0,40,56,41,33,17,36,21,0,0,30,0,79,100,27,18,64,44,33
oloid,84,99,37,0,0,48,100,23,31,0,37,32,0,49,0,43,23,30,0,0,92,39,48,39,38,25,19,48,22,39,56,63,0,45,40,18,36,0,51,49,47,18,86,56,89,37,81,24,33,71,42
numerade,38,46,25,22,25,31,25,37,24,22,36,43,34,47,43,37,54,68,63,45,65,75,85,73,67,89,62,57,38,38,37,57,54,65,72,67,91,77,86,81,79,74,56,73,81,100,76,90,60,65,72
verodin,100,94,50,0,98,0,74,0,81,0,0,0,53,59,0,0,0,0,0,0,0,0,0,0,68,0,0,39,0,0,0,71,56,0,45,40,0,0,0,0,0,0,0,0,50,0,33,36,0,0,0
23andme,74,72,73,65,80,73,86,75,79,81,82,76,65,60,57,61,55,64,57,57,64,65,79,100,87,65,57,68,82,82,67,62,63,63,58,58,60,58,58,74,58,54,50,53,50,50,52,51,50,52,47
vinted,72,68,66,67,61,63,61,66,69,66,77,78,82,83,95,100,91,96,91,90,90,98,100,96,90,89,86,69,73,84,83,87,89,89,83,80,85,83,85,82,94,88,87,91,88,89,90,89,84,87,81
aimlabs,71,75,63,62,79,80,64,63,73,56,46,64,53,47,49,55,46,44,38,33,41,42,30,33,39,40,44,46,32,46,49,50,100,68,41,74,74,78,77,94,68,63,62,69,73,68,49,59,46,46,51
volansi,22,0,0,0,0,0,0,100,42,0,24,0,0,14,0,0,0,19,0,0,0,0,0,0,0,0,29,0,0,20,0,24,0,0,0,0,31,0,62,0,26,0,0,0,24,0,0,0,19,0,0
beeldi,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,20,40,0,0,26,0,0,48,0,56,0,0,0,81,100,0,0,33,0,0,0,22,0,0,0,28,59,18,0,20,0,0,21,21,20,0
flockcover,26,0,0,0,0,0,29,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,32,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
flockcover,26,0,0,0,0,0,29,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,32,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
jobbatical,0,41,0,51,0,0,0,20,52,0,22,0,82,93,0,19,29,0,33,46,22,0,0,50,69,0,0,0,0,0,0,25,0,25,38,31,100,75,0,0,0,41,35,0,0,34,0,36,0,27,0
optellum,0,0,0,0,77,0,26,0,0,0,0,0,0,0,0,53,0,0,88,0,0,0,39,0,64,0,0,0,0,0,38,0,0,0,0,0,0,100,35,0,36,35,0,0,0,0,34,0,55,0,0
apex.ai,0,0,0,0,0,0,0,93,0,0,0,0,0,36,0,0,0,0,41,0,0,49,92,0,34,0,0,0,0,0,0,63,0,71,0,33,0,0,0,100,0,0,0,44,67,47,42,0,0,0,0
figma,47,48,48,46,48,50,48,52,48,48,49,48,51,100,73,58,54,59,61,57,57,60,63,56,57,58,56,48,39,44,58,60,63,66,66,66,64,67,71,65,61,70,61,64,65,60,59,66,63,68,60
platform.sh,29,100,43,38,13,34,35,31,91,28,35,18,30,24,30,28,55,46,48,52,0,0,40,42,17,27,23,23,0,31,47,42,38,52,57,0,37,40,39,36,20,25,50,0,42,60,98,0,0,48,54
caronsale,31,0,18,32,0,35,100,57,0,60,47,22,81,0,0,27,36,40,31,59,68,75,71,50,0,94,66,63,52,48,37,48,0,34,72,54,46,37,18,0,43,29,29,0,33,0,57,33,35,60,42
hypatos,33,72,0,94,38,0,0,0,0,0,0,100,0,81,0,0,0,0,27,0,0,62,0,39,28,0,0,77,51,0,0,37,0,29,47,0,0,0,24,29,30,0,27,25,0,0,0,0,47,38,0
chromatan,95,30,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,44,0,0,100,0,0,0,0,0,0,42,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,30,31,65
vidmob,65,31,25,26,49,69,62,44,36,95,80,45,32,51,0,24,42,37,18,72,90,55,100,57,37,68,50,0,17,22,23,41,64,29,45,41,55,37,49,25,39,24,42,48,25,51,51,36,33,60,26
cropx,25,43,60,83,77,0,58,80,39,51,0,33,63,0,0,0,0,0,0,22,100,33,51,57,0,27,22,42,0,32,0,22,96,62,0,69,97,0,39,46,0,0,45,62,55,0,93,25,0,58,80
aliaswire,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,100,0,0,0,0,36,0,0,42,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,33
policygenius,77,59,83,43,65,54,68,69,76,55,60,28,51,38,56,65,60,63,85,73,66,53,46,57,24,49,76,7,29,56,78,84,37,99,48,61,57,59,48,57,32,76,54,49,73,100,57,42,42,66,33
plentific,0,66,29,16,73,64,32,24,36,0,42,37,17,19,61,59,42,0,54,21,63,43,14,31,55,0,0,41,0,32,36,24,51,28,88,78,61,57,27,35,66,14,21,100,44,64,0,45,53,58,48
cloudian,36,54,41,37,48,66,0,54,38,41,72,38,37,28,48,47,67,72,59,52,64,37,49,26,66,38,30,32,12,39,42,65,51,72,63,57,34,44,35,44,66,64,22,47,36,100,51,15,79,15,32
suki,46,39,42,39,41,43,39,40,42,51,48,43,50,36,39,42,39,39,35,36,49,52,38,35,34,58,33,38,56,55,50,47,46,48,48,44,53,54,54,62,56,59,48,50,42,45,100,51,46,44,42
rentle,21,46,47,78,23,48,29,29,38,25,41,64,35,48,91,53,50,28,55,44,28,27,28,0,27,26,39,20,37,23,37,57,41,42,59,14,44,100,0,41,38,45,84,29,18,48,65,19,41,42,75
kognitiv,68,56,54,62,46,48,48,39,48,59,65,58,82,74,81,88,76,74,85,97,83,84,90,87,78,86,80,69,51,81,95,98,100,95,89,90,83,82,88,81,82,84,62,77,94,83,85,84,69,78,63
