,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
rkvst,0,0,0,0,0,0,21,0,0,39,21,0,0,65,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,100,0,0,0,18,18,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
beyondmeat,0,64,30,50,0,54,68,54,42,0,44,87,0,0,45,100,58,33,21,40,32,40,0,27,29,0,0,49,42,0,39,84,38,0,33,44,19,31,39,38,0,52,0,27,0,21,0,29,0,0,80
pearlauto,0,0,62,0,0,0,0,0,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,53,38,0,0,0,0,0,0,0
incision.care,0,78,0,0,0,0,89,0,0,0,0,0,44,0,0,0,0,0,0,42,44,0,0,0,0,0,37,0,0,46,100,58,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carsonlife,0,0,0,49,0,0,0,0,0,0,0,0,0,0,38,0,0,66,0,77,0,0,0,0,0,76,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,73,0,0,0,0
datapelago,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,36,0,0,0,0,0,64,0,0,100,0,0,0,0,0,0,0,0,0,0,30,61,0,0,0,0,0,69,0,0,0,0
bkn301,0,0,22,46,30,28,0,0,0,0,23,0,32,0,33,0,0,0,0,41,0,26,22,25,42,22,0,100,43,0,32,40,26,29,0,37,0,56,39,17,32,33,0,0,0,93,0,41,0,0,64
getcraft,0,24,0,28,74,34,48,43,14,0,0,15,0,20,66,19,0,100,29,55,41,52,31,26,0,23,28,27,82,20,35,57,18,25,17,45,64,0,0,0,0,43,16,0,0,30,0,25,0,0,23
gradatim,69,43,27,26,32,0,0,71,0,22,52,0,31,62,0,100,49,0,75,46,33,22,0,27,16,55,25,25,31,60,0,0,22,36,32,0,62,29,0,52,46,81,42,66,60,34,0,0,30,23,18
etoro,45,45,42,39,37,43,38,46,43,45,46,84,42,100,41,48,42,42,43,48,51,53,51,52,50,65,58,65,76,85,61,54,53,54,51,49,40,36,38,44,43,43,40,46,45,39,38,37,39,43,42
greenmonday,0,68,0,57,0,0,0,0,43,0,43,0,0,0,0,0,0,29,0,0,0,0,100,0,0,0,0,0,0,0,0,50,50,0,0,0,73,0,0,0,37,0,0,32,0,0,0,0,0,0,34
meritbeauty,0,31,0,40,0,0,0,0,0,100,0,0,0,42,0,0,0,0,0,33,0,0,0,0,0,0,35,28,34,0,0,0,0,0,0,0,0,0,0,31,0,0,0,75,0,0,0,30,0,62,0
uhana,34,34,30,29,30,35,41,32,31,29,43,32,36,26,16,27,43,37,29,28,42,26,30,24,29,38,24,22,43,34,24,32,34,27,25,24,20,31,29,100,40,25,27,31,29,30,29,33,33,29,24
