,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04
ninjavan,80,70,82,80,67,78,71,69,78,71,71,69,65,65,57,63,64,60,52,68,58,78,76,76,70,95,87,82,73,72,77,58,72,71,71,64,67,74,61,53,82,100,96,71,51,63,72,60,56,62,81
sharegain,0,0,0,0,31,19,30,0,0,18,43,0,18,0,0,100,20,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,16,16,0,0,16,0,0,24,16,0,15,30,0,64
bambee,25,21,44,33,29,34,35,43,39,37,29,44,45,25,32,24,31,33,29,40,23,32,27,29,26,49,33,28,29,17,28,36,40,40,50,58,50,76,53,62,71,91,100,92,86,77,81,70,74,72,68
lettusgrow,0,40,0,0,0,57,0,0,0,0,0,100,26,0,0,34,0,0,40,0,0,0,0,0,0,34,0,0,47,93,27,0,0,0,54,0,0,0,0,0,0,38,60,64,0,0,0,0,67,0,0
osmind,20,35,0,21,0,0,55,53,21,0,73,30,21,0,0,76,31,33,36,53,90,58,0,0,0,29,0,100,0,68,34,47,93,19,32,29,0,32,0,0,21,50,35,27,0,0,46,0,57,26,79
placer.ai,40,19,15,37,0,0,0,38,0,33,41,0,15,0,25,38,0,0,0,13,15,0,18,33,50,54,0,57,16,14,22,37,35,48,0,20,38,0,19,69,100,21,0,0,0,25,0,34,0,45,0
matrixport,89,100,45,32,48,54,20,34,18,65,47,49,59,68,74,25,9,40,44,31,59,51,54,55,39,76,39,21,16,25,0,30,34,39,43,35,25,33,34,16,24,22,0,50,21,18,0,24,0,10,0
tango.us,0,0,0,65,43,0,46,0,0,31,58,0,0,0,42,88,66,32,0,0,28,38,0,32,0,0,0,39,0,0,30,0,0,0,50,25,73,0,50,0,89,0,94,0,0,0,32,22,69,54,100
ifoodds,0,0,0,0,0,0,0,0,47,0,61,0,0,0,44,0,0,0,0,0,0,45,60,0,0,0,0,0,68,0,0,0,41,59,0,0,0,0,100,49,0,0,0,43,42,0,43,0,73,42,0
saagie,55,0,51,0,100,59,0,27,0,0,0,0,0,0,0,0,23,81,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,47,0,45,0,0,0,0,0,0,70,0,0,50,0,26
cyngn,0,52,46,0,16,54,32,0,0,35,32,100,0,20,0,0,0,78,17,26,20,25,21,16,0,22,34,0,0,0,21,60,21,0,47,16,14,15,57,30,22,0,0,18,34,0,35,38,0,0,29
alasco,32,43,51,81,0,53,60,18,69,42,59,38,48,69,100,35,54,42,37,34,61,62,50,38,83,62,0,18,41,25,18,57,60,14,0,69,66,30,72,45,56,42,38,21,68,57,69,0,23,65,0
skyryse,30,31,0,0,13,0,27,0,24,0,61,0,14,41,100,12,36,20,0,0,18,14,28,0,0,0,0,15,0,0,18,22,0,22,0,29,16,15,28,23,0,17,48,0,23,14,0,26,0,31,0
lunewave,0,51,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,47,0,0,79,0,0,65,57,0,76,28
theforage,19,5,7,7,0,12,0,8,6,5,5,5,4,0,0,6,5,0,0,6,5,0,3,11,0,4,14,6,14,0,9,11,11,14,5,8,12,10,13,0,4,8,19,8,0,6,48,100,17,28,59
cellwize,74,0,0,0,100,53,0,0,0,41,0,0,0,37,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,44,0,58,0,0,42,0,43,0,0,0,76,0,0,0,0,0,39,62,48
navan,54,54,57,52,55,56,63,54,54,51,54,52,52,49,53,54,55,53,53,56,52,59,50,57,55,58,57,54,61,54,56,53,52,63,64,58,58,58,58,59,59,66,59,60,59,61,56,100,60,60,60
drivenets,18,0,0,0,0,22,0,28,100,30,0,25,0,0,34,42,53,31,0,35,0,0,23,72,37,26,0,42,37,0,48,33,93,21,21,39,64,36,37,0,0,18,0,0,0,23,0,0,16,0,15
censys,68,47,63,55,77,67,62,91,71,84,63,61,65,93,75,54,93,90,70,78,55,78,69,86,59,51,74,45,46,65,58,91,62,98,68,81,90,73,95,79,100,44,65,66,96,56,91,86,88,92,80
wish.com,80,82,75,100,84,88,89,98,99,81,91,68,89,86,89,87,90,83,83,87,89,83,81,96,81,73,77,75,72,72,67,67,67,73,52,60,68,74,56,57,61,62,55,65,74,76,59,61,63,75,66
climeworks,38,80,43,42,49,60,39,30,28,26,36,36,66,29,36,40,37,42,51,32,50,29,35,32,37,50,36,33,48,100,68,16,39,58,39,44,35,34,30,48,26,24,25,46,27,47,39,32,35,36,66
iconbuild,28,0,0,0,0,0,24,0,0,0,0,0,25,0,21,0,21,0,0,0,0,65,54,0,32,0,0,0,0,0,100,0,22,0,0,0,35,0,0,0,0,0,0,0,21,24,0,0,0,0,29
iconbuild,28,0,0,0,0,0,24,0,0,0,0,0,25,0,21,0,21,0,0,0,0,65,54,0,32,0,0,0,0,0,100,0,22,0,0,0,35,0,0,0,0,0,0,0,21,24,0,0,0,0,29
enevate,0,0,56,79,0,0,0,26,0,0,0,0,0,76,38,34,0,33,0,100,0,0,0,0,0,0,29,0,0,58,44,40,0,0,70,0,74,24,60,0,0,0,0,46,37,0,0,0,0,0,0
appcues,76,47,79,48,71,75,81,94,70,63,78,74,47,55,95,96,80,51,100,59,89,43,82,59,84,71,53,17,77,75,76,90,87,54,86,64,71,98,47,64,61,86,32,74,80,51,67,49,56,56,63
enertiv,0,38,0,96,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,39,0,0,21,24,0,0,0,29,100,0,0,0,0,0,0,27,0,0,41,0,0,0,80,0,0,0,50,29,0,34,23
breezometer,11,13,24,22,24,22,20,6,29,31,58,20,38,38,10,14,21,22,0,7,11,0,6,25,25,0,6,17,13,7,12,19,15,12,5,26,10,26,23,13,26,7,30,12,20,8,11,21,24,10,100
beamery,89,76,38,41,43,100,42,44,80,54,19,36,60,56,41,52,29,39,54,46,67,37,43,63,41,96,29,0,32,72,36,48,51,49,63,14,44,59,44,81,65,47,39,43,67,47,59,26,47,46,56
submittable,71,76,65,69,78,59,79,66,78,68,63,74,77,76,79,100,76,67,66,78,56,80,35,62,73,66,46,52,64,79,74,75,83,85,72,89,85,80,67,72,79,78,72,74,71,77,65,71,69,70,62
darvis,90,17,13,47,39,0,17,63,59,0,46,49,40,61,73,62,52,75,23,49,36,29,47,0,36,26,26,39,84,26,30,0,23,48,40,58,34,34,49,49,42,73,96,17,60,61,100,84,86,33,32
forallsecure,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,49,24,0,0,0,0,55,0,0,0,0,0,0,0,0,0,26,0,27,0,51,0,100,0,66,0,0,39,0
polywork,39,58,50,0,25,48,40,37,43,50,20,0,96,82,83,22,47,36,16,56,40,100,27,45,61,53,38,32,14,61,55,50,13,79,67,30,35,33,33,48,0,24,52,0,0,0,29,26,26,25,16
zolar,92,68,96,75,64,48,59,67,80,78,63,57,73,71,50,66,43,59,75,76,59,50,52,68,61,36,47,48,49,64,62,62,73,56,52,51,57,75,85,100,74,85,66,58,65,67,91,59,43,31,55
transcarent,67,52,0,0,0,55,0,62,0,46,32,29,55,33,31,0,70,62,47,54,34,50,48,0,0,28,30,30,60,59,74,42,46,47,77,45,46,81,45,43,15,33,29,99,44,29,100,0,72,50,85
evidation,8,7,34,29,24,47,55,100,27,20,23,19,19,13,17,13,54,14,16,17,16,19,11,13,15,8,79,18,17,16,18,17,18,12,14,21,12,9,12,19,13,7,18,39,14,9,15,8,11,10,4
yubico,52,46,56,71,59,51,59,62,55,69,53,62,59,63,100,87,66,76,82,74,65,68,47,58,61,58,56,61,52,64,70,91,74,66,66,63,73,68,73,87,74,74,54,78,71,57,64,66,61,52,60
thoughtexchange,31,18,0,0,0,25,50,0,0,50,36,39,30,46,45,61,0,32,16,0,100,20,17,0,15,0,0,0,0,42,0,0,94,0,30,0,27,0,29,0,0,0,46,0,0,57,0,32,0,0,0
klue,59,37,46,53,88,55,78,48,88,44,44,69,51,62,59,55,44,43,39,43,53,54,52,49,39,43,43,40,22,43,58,56,64,52,85,77,62,100,53,42,29,51,39,79,55,32,49,50,42,65,42
eclypsium,0,28,0,0,0,43,0,0,0,14,37,0,0,37,0,67,22,57,23,0,0,54,14,0,0,0,0,0,0,0,16,0,20,100,0,0,0,0,16,0,0,14,0,0,0,0,14,0,28,94,67
locus.sh,0,36,0,0,92,0,31,54,70,0,0,0,27,0,19,0,0,0,0,0,0,25,0,0,22,0,0,0,0,0,0,0,43,0,0,100,31,43,0,0,58,0,27,0,0,0,28,0,40,0,49
soulmachines,0,0,0,27,0,36,0,100,0,0,0,0,0,25,0,0,0,0,0,0,0,54,0,0,52,0,0,0,0,0,0,0,31,0,0,0,68,0,0,0,0,94,45,0,0,49,0,50,0,0,0
proptiger,65,34,74,49,45,49,41,44,29,79,37,59,45,59,51,20,39,74,11,32,22,43,0,24,53,41,65,36,47,20,33,25,68,0,40,50,52,20,100,30,39,65,23,64,51,76,31,15,31,47,24
run.ai,0,0,0,72,0,0,0,0,0,0,79,100,64,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,0,0,0,0,0,0,0,0,0,0,49,0,33,0
facet.com,0,0,0,55,0,0,79,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facet.com,0,0,0,55,0,0,79,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kustomer,45,50,65,83,74,67,84,56,75,59,69,55,61,51,58,76,73,70,67,44,29,65,31,66,50,53,50,49,39,58,54,48,50,53,44,70,60,70,100,66,56,50,75,66,64,66,50,82,50,48,83
improvado,61,30,40,57,52,0,0,51,43,0,39,56,0,23,25,0,0,23,73,0,52,39,32,0,0,30,0,0,0,43,27,59,36,0,29,73,69,35,0,24,44,55,0,58,100,21,98,0,37,0,34
jumpcloud,65,80,70,63,66,67,77,64,64,75,60,69,84,82,72,77,71,72,89,71,86,93,66,66,67,82,63,43,82,78,78,70,82,100,79,77,93,91,84,92,66,68,83,87,76,83,89,79,73,68,79
payjoy,85,97,96,94,96,99,98,99,100,99,91,91,82,91,93,87,83,88,76,77,71,77,79,75,77,72,79,78,77,73,81,89,72,74,77,76,88,73,69,79,91,88,85,88,76,74,72,77,80,83,79
themomproject,0,28,0,27,0,0,0,25,28,0,30,65,0,0,44,30,0,25,0,37,0,0,100,23,0,0,0,0,0,0,0,36,0,0,39,0,0,0,0,0,0,0,0,0,34,26,0,58,0,0,0
entropik,41,22,0,75,0,15,37,40,31,17,31,17,47,18,0,38,37,52,0,68,23,26,17,29,25,99,100,0,0,15,0,0,65,22,47,29,30,0,53,15,34,0,14,22,52,22,28,21,29,23,0
lumanu,36,85,27,26,0,32,100,32,0,42,58,26,65,19,0,0,28,57,60,83,36,47,44,20,47,0,31,0,29,0,18,55,61,57,61,0,54,58,59,19,23,46,40,79,57,80,49,56,0,0,65
