,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04
avidxchange,86,64,69,66,70,87,86,79,73,74,64,66,88,56,82,80,71,68,85,61,46,64,47,53,62,66,60,56,70,53,78,69,77,67,98,69,69,58,50,66,67,85,98,94,84,75,85,84,100,53,54
yoobic,40,45,30,58,28,37,44,38,83,99,52,71,50,62,48,91,0,72,36,61,86,64,33,56,63,51,33,13,50,45,47,37,59,62,86,69,49,60,13,100,52,46,32,33,53,56,69,48,62,89,38
practicefusion,0,80,44,47,22,16,11,63,38,17,18,18,16,30,0,34,30,30,22,0,44,27,0,34,0,23,0,57,0,0,26,28,20,42,25,34,18,100,30,37,21,31,35,13,13,38,28,0,0,16,20
stairwell,74,65,87,74,69,77,79,72,77,74,70,69,77,71,71,68,86,80,79,66,83,100,75,75,64,79,55,70,70,71,70,84,69,87,75,89,79,84,72,67,75,69,68,74,78,65,73,73,68,73,75
cheq,74,53,61,77,72,74,65,62,48,62,74,68,73,66,71,64,93,69,60,69,57,64,55,60,57,59,57,57,65,77,74,72,67,71,90,85,97,70,91,100,93,93,75,84,78,77,65,92,93,98,87
wisetack,50,86,42,72,50,60,0,22,53,91,63,29,24,18,63,31,54,18,32,51,48,67,15,80,16,57,60,0,38,83,65,100,91,47,45,21,40,54,38,79,90,0,65,71,65,20,63,49,68,50,49
cinchy,35,0,42,0,0,0,17,0,39,0,0,26,49,18,86,0,44,89,50,33,25,18,25,67,56,36,0,40,0,39,32,100,41,90,55,0,50,50,41,51,37,57,28,30,23,33,56,0,56,0,0
thoropass,0,0,0,0,0,0,0,100,0,0,0,36,0,0,0,0,68,0,48,0,0,0,0,0,36,0,0,0,0,0,0,0,0,51,43,0,49,73,79,0,0,39,67,75,56,90,95,58,56,58,77
missionbio,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,43,0,0,65,0,0,38,34,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,53,72,0,0,0
xica,93,96,89,95,93,86,93,85,86,85,86,93,77,92,85,71,90,70,74,69,68,62,73,65,56,59,56,64,62,81,55,63,54,55,65,53,58,67,64,62,68,88,90,96,100,63,51,61,68,65,70
appwrite,50,41,53,37,32,20,50,35,39,26,30,36,72,44,58,41,51,33,38,43,41,50,40,46,36,37,53,89,83,58,65,73,96,52,75,59,54,56,85,30,83,53,71,72,61,51,57,69,76,91,100
exotec,41,45,30,28,57,34,30,24,36,27,36,40,22,36,42,32,35,24,34,38,38,46,53,46,40,32,31,17,28,35,60,39,50,45,40,55,100,54,58,28,55,47,34,35,48,29,40,26,44,34,26
calendly,74,72,70,71,74,74,72,74,81,82,84,81,83,86,89,87,85,84,86,84,81,82,58,73,71,71,57,42,73,88,92,91,100,94,87,85,91,90,83,88,85,76,75,76,75,75,77,74,76,69,73
getquip,79,0,0,0,98,74,96,29,0,0,98,85,35,68,41,28,64,35,0,45,46,81,50,72,0,0,100,35,56,0,0,86,81,0,71,71,0,0,0,0,0,0,41,75,0,0,0,0,32,0,48
chronosphere,26,25,48,53,23,30,16,39,43,23,41,30,37,27,15,56,27,37,36,54,46,35,61,100,49,56,51,44,61,72,67,54,67,34,34,50,57,44,32,57,55,60,30,24,13,57,35,59,24,30,51
involve.ai,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,70,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,80,44,42,39,0,41,0,0,0,100,0,0,0,71,0
headway.co,0,0,0,0,0,33,0,0,55,0,0,0,63,0,0,85,95,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,59,0,61,57,0,0,0,0,35,0,0,0,0,0,0,42,75,54,76
treble.ai,0,100,29,0,0,0,0,0,0,0,0,96,51,0,40,31,0,0,0,0,0,0,71,0,0,0,67,0,0,40,0,0,0,0,33,0,0,0,0,0,27,29,0,0,0,0,0,38,36,0,0
babel,86,93,76,73,88,83,87,94,94,90,100,91,90,96,89,77,89,84,73,80,82,78,76,81,78,78,82,83,87,85,84,87,87,83,84,83,84,81,90,74,72,81,76,81,76,73,75,82,85,86,78
alpaca.markets,79,0,0,0,0,0,62,0,0,0,65,0,0,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,0,36,0,0,91,0,81,54,0,0,0,0,63,50,0,0,74,0,0,0,94
patch.io,0,0,0,53,0,53,65,0,0,0,0,0,0,0,65,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,68,50,0,74,0,0,0,0,0,100,0,0,78,0,0,0,0,0,52
reforge.com,52,0,0,0,0,42,0,35,0,0,0,0,0,0,0,0,0,0,0,32,100,0,0,0,0,34,0,0,0,0,0,0,0,40,0,0,36,0,0,0,26,0,0,28,0,0,0,0,47,0,28
springhealth,71,16,21,34,66,35,61,40,100,46,35,25,0,15,45,33,57,56,55,57,75,86,45,26,72,36,44,19,84,55,86,65,92,47,33,42,58,14,75,92,15,91,56,23,74,69,55,49,41,45,29
cubyn,45,58,51,100,70,41,47,39,24,67,33,56,73,19,34,52,67,40,46,64,42,58,35,42,38,80,41,63,53,22,42,46,28,32,40,56,35,44,42,35,36,35,39,40,0,44,32,37,39,37,50
apna,86,76,84,84,84,85,86,73,80,82,80,78,87,82,79,72,82,72,62,76,77,76,73,72,75,84,88,95,84,84,80,81,83,84,80,83,80,71,87,88,85,95,92,87,90,83,87,89,89,96,100
quitgenius,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,51,0,0,0,0,0,0,100,0,0,0,0,0,0,66,31,0,45,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
nucleix,29,0,0,0,0,0,0,70,0,0,36,30,61,31,33,0,89,0,0,0,56,0,0,0,0,95,0,0,30,0,0,90,100,0,0,0,24,26,0,0,30,0,0,29,28,0,24,73,35,0,39
tophat,23,23,21,22,18,18,20,20,31,90,100,83,83,73,66,65,56,58,58,51,47,51,28,49,39,26,18,14,18,62,67,70,71,58,54,47,49,40,32,39,39,38,36,35,36,31,23,21,20,17,19
voltacharging,0,85,0,0,0,0,0,93,0,99,97,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,71,0,0,0,0,61,53,0,0,100,0,67,0,0,0,55,0,71,0,0,75,0,0,0,0
nicks,40,31,34,33,35,63,42,37,38,39,40,42,39,45,39,41,37,39,43,44,40,33,31,100,48,41,36,42,39,39,38,55,40,40,33,38,41,51,59,60,44,44,40,41,35,38,39,54,51,42,36
linktr,26,55,40,76,67,49,77,71,61,60,63,65,72,73,61,52,55,53,48,54,60,72,57,100,60,56,73,65,60,62,63,55,58,67,61,64,50,80,76,68,71,79,78,57,58,53,40,52,69,82,66
ascend.io,0,0,0,37,0,50,0,54,0,0,0,0,0,100,0,0,44,30,38,0,0,0,0,0,0,32,0,0,0,45,87,0,0,0,45,0,0,0,27,0,0,34,0,0,50,91,0,0,0,0,35
ascend.io,0,0,0,37,0,50,0,54,0,0,0,0,0,100,0,0,44,30,38,0,0,0,0,0,0,32,0,0,0,45,87,0,0,0,45,0,0,0,27,0,0,34,0,0,50,91,0,0,0,0,35
75f,76,77,67,71,83,100,73,73,67,71,50,50,52,64,49,57,52,48,43,65,56,48,44,45,53,38,52,57,51,43,48,39,52,49,34,53,44,39,46,42,50,47,48,69,40,66,71,66,57,67,81
noredink,5,4,2,4,2,3,8,21,63,82,89,85,100,93,78,69,64,79,74,74,55,74,18,73,67,55,17,2,41,80,60,79,70,75,62,52,70,63,44,58,54,40,50,49,41,39,35,27,19,10,11
liveaction,42,78,55,47,56,72,31,76,30,69,59,51,100,46,43,39,69,53,66,36,41,31,15,46,13,51,52,52,16,52,45,39,84,60,57,61,36,40,40,72,66,91,33,38,59,53,53,61,58,93,62
tines,94,92,88,92,82,86,89,91,85,90,84,86,89,93,85,95,80,81,86,93,89,90,82,84,89,83,87,85,91,89,82,85,88,87,100,90,77,82,84,89,100,97,91,90,90,93,87,84,95,89,88
lydia-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,49,50,100,0,0,0,0,28,0,0,0,0,0
lydia-app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,49,50,100,0,0,0,0,28,0,0,0,0,0
casavo,48,49,39,37,69,56,32,24,30,22,29,34,36,46,55,75,56,48,52,48,42,30,38,42,32,39,54,33,31,40,49,29,36,26,100,54,25,37,25,32,34,30,35,31,45,33,32,36,25,35,25
hopin,56,65,42,100,51,38,41,41,42,41,37,42,37,46,51,47,37,44,31,33,48,40,36,43,40,31,29,32,36,41,42,37,38,34,45,41,39,36,33,35,30,37,27,28,33,29,30,27,35,26,23
fidocure,0,0,23,0,53,51,0,27,0,0,36,23,0,23,52,76,60,69,0,0,0,32,23,100,61,0,46,0,40,0,54,54,53,0,0,47,0,0,19,0,51,34,31,0,0,0,0,0,0,0,0
iceotope,70,54,0,45,0,0,0,0,55,73,54,45,0,0,0,79,0,98,0,45,60,60,0,0,60,0,0,0,0,0,0,0,0,54,0,0,0,100,0,0,0,0,0,0,0,0,70,70,0,54,0
perimeter81,0,46,46,100,55,54,21,50,45,0,36,46,20,66,0,86,22,41,23,29,43,69,26,16,26,34,45,48,0,40,0,44,49,39,22,32,35,0,0,62,0,42,0,36,46,0,23,41,49,0,25
mixpanel,77,73,68,80,78,82,77,80,70,82,77,75,81,77,75,82,75,74,87,85,70,81,63,77,68,71,56,42,65,86,76,84,93,100,87,80,91,98,93,84,89,75,85,90,78,78,81,70,80,74,80
farmwise,0,0,0,0,91,49,29,0,0,36,46,0,21,38,0,25,0,0,30,54,29,40,37,0,0,0,0,0,0,63,75,23,0,39,100,31,92,52,39,52,37,43,92,50,83,26,65,0,54,31,59
farmwise,0,0,0,0,91,49,29,0,0,36,46,0,21,38,0,25,0,0,30,54,29,40,37,0,0,0,0,0,0,63,75,23,0,39,100,31,92,52,39,52,37,43,92,50,83,26,65,0,54,31,59
printify,18,17,17,16,17,17,16,18,24,23,25,22,19,22,26,23,24,24,24,29,28,29,26,25,28,27,32,87,100,70,71,70,71,60,59,60,54,58,57,66,66,67,69,64,65,68,65,63,66,62,80
replicated.com,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,24,0,0,25,26,0,19,0,0,0,27,20,0,0,0,0,0,50,41,24,21,0,39,0,0,18,63,64,100,48,42,41,20,0
wayflyer,34,56,21,20,30,19,37,31,20,27,27,27,42,52,25,29,21,20,30,24,29,100,22,34,19,17,18,0,20,0,14,14,17,11,7,20,12,18,28,15,11,21,6,18,15,24,29,19,18,6,8
openmoney,56,25,25,16,78,0,38,16,0,58,11,0,68,29,16,31,30,15,25,74,49,53,40,49,0,48,28,49,55,38,48,56,39,51,32,46,22,46,50,62,20,24,45,49,57,30,46,0,100,32,59
logiwa,0,87,0,72,49,100,33,57,73,50,0,0,75,0,0,43,53,0,44,44,0,95,36,27,48,62,47,0,60,48,48,37,0,82,53,49,40,64,76,52,30,64,0,37,0,65,85,29,92,0,69
siteminder,87,63,73,83,97,74,94,92,84,100,69,67,73,92,80,52,73,74,52,86,57,83,66,53,62,69,51,44,58,78,83,81,90,88,84,90,70,83,87,76,74,89,81,81,70,67,85,83,72,65,61
supabase,35,37,41,30,42,29,40,38,44,44,45,53,49,51,41,46,47,44,49,53,54,52,53,59,61,69,68,61,61,77,64,72,80,75,77,82,71,75,80,71,82,87,100,96,92,82,89,83,98,88,91
getontop,0,0,0,47,29,49,0,53,0,0,100,0,41,0,58,0,0,61,44,50,0,0,0,0,0,0,0,0,0,31,0,36,39,0,59,0,0,0,0,0,0,0,0,71,0,41,56,0,29,0,0
hellosuper,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,21,0,0,38,100,0,27,0,45,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
veza,65,64,100,85,68,63,66,71,65,68,61,58,63,66,59,53,69,66,71,71,65,71,67,65,81,72,58,60,61,61,66,65,61,59,67,67,62,54,66,70,64,62,59,53,56,57,66,57,49,58,66
syllable.ai,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,90,44,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,88,0,0,0,100,47,0,0,0,0
tipalti,79,66,67,72,76,76,74,69,67,71,88,58,75,86,67,71,99,66,71,67,65,71,39,73,78,64,64,56,60,82,73,50,68,72,64,63,71,64,69,88,83,65,63,73,73,75,84,100,70,58,64
aquabyte,100,30,0,0,0,41,0,45,0,0,0,0,0,0,0,0,34,0,0,48,0,30,0,67,0,90,38,0,0,0,0,0,0,0,0,36,41,0,0,53,0,37,34,29,43,0,50,0,0,0,74
searchlight.ai,0,36,0,0,0,0,0,71,0,0,33,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,51,0,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,42
tovala,31,47,39,38,41,44,53,51,42,32,28,29,24,33,30,30,27,32,48,54,42,55,54,43,44,36,46,100,72,56,47,38,41,39,28,39,27,31,29,27,29,26,21,24,22,21,21,23,30,25,16
aquant,80,30,54,60,35,74,61,36,79,69,85,47,28,75,38,49,66,44,23,54,33,26,38,59,50,0,55,71,10,53,66,86,59,53,61,53,39,0,55,29,35,27,43,85,39,81,80,78,53,100,34
partners,90,91,86,91,83,88,91,83,84,91,90,83,89,88,88,88,88,86,83,89,87,88,72,82,79,84,78,62,83,92,93,95,95,92,91,93,95,100,95,95,97,87,90,93,90,88,87,85,95,83,89
partners,90,91,86,91,83,88,91,83,84,91,90,83,89,88,88,88,88,86,83,89,87,88,72,82,79,84,78,62,83,92,93,95,95,92,91,93,95,100,95,95,97,87,90,93,90,88,87,85,95,83,89
kyruus,42,48,0,33,40,0,31,42,22,37,100,0,61,0,36,60,53,0,0,46,50,81,0,92,27,0,0,0,0,34,44,0,64,96,64,37,82,0,45,24,71,61,58,65,70,0,45,77,86,38,73
pulsedata,0,0,0,0,0,0,85,0,0,0,0,80,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,89,0,0,0,100,0,0,98,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
omie,69,79,74,80,74,75,81,78,81,91,100,88,88,89,79,79,71,80,72,59,63,63,71,66,64,70,57,58,77,75,83,78,70,74,79,73,82,78,76,71,80,64,78,69,83,74,71,73,77,69,68
lambdatest,42,43,48,60,65,71,63,66,63,76,59,84,65,74,86,80,68,62,66,65,75,71,62,63,83,77,60,35,74,75,78,92,42,78,67,74,77,63,62,100,54,79,77,86,72,61,60,76,75,76,67
databook,79,71,79,96,100,90,89,77,81,71,71,70,92,61,53,70,71,58,56,55,66,60,64,74,56,68,61,70,60,57,63,57,58,69,66,65,58,46,59,68,65,75,76,52,74,66,67,77,50,84,81
koibanx,0,20,24,41,0,25,0,0,100,36,0,0,52,19,60,0,0,0,0,0,18,45,0,41,0,0,22,0,0,0,0,0,0,0,0,64,0,0,0,49,0,0,0,35,0,0,0,0,79,0,19
scaler.com,35,34,65,22,11,20,27,61,17,23,27,0,17,36,36,38,39,13,0,20,0,43,57,30,33,13,18,24,34,16,21,37,47,100,47,0,42,41,32,35,53,0,36,27,14,19,32,13,0,25,24
