,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
carwow,86,88,86,83,83,74,76,81,90,83,86,92,79,79,80,79,70,71,69,75,76,78,74,68,60,59,59,71,82,100,89,87,91,92,98,90,92,91,93,87,92,85,89,84,90,84,78,80,80,84,74
theriveter,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,36,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,100,0,0,0,0,0,0,0,0,0,0
brilliant.tech,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,100,0,0,0,93,0,80,0,0,48,0,0,73,49,0,0,0,0,0,97,0,0,76,49,0
alison.com,25,38,56,65,32,58,53,74,44,38,69,67,56,61,36,64,53,66,64,57,63,61,61,64,55,57,100,65,58,68,65,60,75,69,70,78,68,54,48,55,56,68,66,56,45,48,28,61,50,85,21
vividcortex,0,0,0,0,0,0,0,24,0,0,0,0,57,0,100,0,64,24,0,59,0,0,0,0,0,0,0,45,0,0,0,0,0,28,0,0,0,0,0,52,0,0,0,27,73,0,0,0,51,0,26
mapped,74,86,90,83,86,83,79,78,75,78,80,77,82,87,87,80,77,88,90,87,85,78,90,73,85,95,96,85,58,71,88,88,87,92,87,100,87,87,84,82,86,84,85,82,82,83,81,84,85,76,80
nowsecure,25,33,0,0,15,0,0,0,27,0,45,32,0,26,42,27,22,32,24,0,25,16,0,0,17,21,23,100,0,0,28,36,21,0,0,34,31,25,27,30,27,23,58,31,30,0,0,0,27,0,24
synthio,54,0,0,61,0,0,100,0,40,0,0,0,41,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,37,0,0,0,0,0,0,76,0,0,0,0,0,0,96,0,0
tapline,0,0,0,0,27,0,0,0,0,0,0,52,0,0,0,35,27,27,49,25,0,22,23,0,0,59,36,40,0,29,27,43,100,0,0,42,32,35,45,24,0,45,27,0,48,0,0,93,0,24,24
movesystems,0,0,100,0,0,43,0,0,0,0,0,52,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,58,0,0,0,0,0,0,0,81,60,0,0,29,0,0,0,0,72
