keyword,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11
whatap,81,65,57,99,85,63,82,64,90,100,90,84,74,81,91,91,90,78,91,81,87,92,87,93,67,92,93,79,82,85,74,75,95,65,74,88,73,78,78,74,90,70,88,79,67,81,78,79,88,90,79,89
pica8,72,43,39,28,0,35,0,0,61,0,32,53,0,0,0,100,0,0,0,0,0,70,0,0,0,27,38,0,69,0,0,0,68,82,0,32,0,38,26,31,0,0,0,0,0,0,0,0,0,0,0,0
guardknox,50,0,53,0,0,0,0,63,0,0,0,0,0,47,0,0,0,0,0,30,25,0,35,0,0,0,0,0,0,0,0,84,0,34,0,0,100,0,0,0,0,0,0,0,0,0,0,0,29,57,0,0
suzy,88,100,98,90,81,83,84,76,81,81,81,68,83,79,77,66,74,70,72,72,69,73,80,74,87,81,80,85,89,64,70,68,71,67,65,68,69,68,67,67,65,79,74,73,74,68,66,71,69,66,71,71
avertana,0,0,0,23,23,0,0,0,0,0,0,61,0,48,0,0,0,0,19,0,0,0,0,0,100,30,0,39,0,20,0,0,0,0,0,70,0,58,0,0,0,0,24,0,0,0,0,0,0,0,0,0
elexity,0,0,0,30,0,0,0,0,0,100,0,0,0,0,0,0,0,46,22,0,23,0,37,30,0,0,0,0,0,0,0,53,0,0,0,29,18,0,0,56,0,0,0,25,0,0,18,0,0,0,0,0
elexity,0,0,0,30,0,0,0,0,0,100,0,0,0,0,0,0,0,46,22,0,23,0,37,30,0,0,0,0,0,0,0,53,0,0,0,29,18,0,0,56,0,0,0,25,0,0,18,0,0,0,0,0
livekindred,53,0,0,90,0,0,0,0,0,0,0,54,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,47,0,0,0,0,0,0,51,100,0,0,0,0,0
imperfectfoods,20,0,0,0,0,28,19,0,0,0,100,0,17,48,0,0,0,0,0,0,28,44,16,12,0,0,0,0,0,31,44,13,20,35,0,25,29,16,15,0,49,23,0,0,0,0,0,14,0,40,26,0
paro,33,43,36,18,23,21,35,31,27,29,35,31,20,20,22,21,40,27,28,21,37,20,31,19,16,21,16,12,21,19,21,19,17,28,30,29,28,22,26,24,18,43,29,39,25,16,20,42,17,29,21,100
teamshares,0,0,26,20,65,49,0,0,0,0,53,23,28,74,0,19,28,30,68,46,32,62,66,28,58,0,0,0,0,0,100,0,0,58,0,56,0,55,74,0,0,51,41,33,28,39,46,65,0,0,0,0
vinehealth,57,0,56,0,42,58,97,0,36,0,0,0,35,54,0,0,0,0,0,65,49,36,0,0,100,0,0,0,44,0,0,0,0,0,0,0,0,0,45,0,74,80,0,50,0,0,0,0,0,0,0,0
passbase,32,34,0,49,29,0,0,36,69,54,0,0,0,33,51,0,26,66,31,34,0,18,0,0,0,0,0,0,0,0,23,0,0,23,0,0,39,38,0,100,0,0,0,36,27,30,19,0,0,0,0,0
elucidata,0,41,35,24,25,31,0,41,0,34,0,37,39,43,73,0,0,0,25,40,100,0,19,0,16,0,0,31,0,24,0,28,0,35,32,0,32,27,21,0,35,0,15,0,32,21,0,30,17,19,60,56
trilliant,46,29,47,31,39,48,41,28,48,87,100,68,79,54,69,72,80,63,62,53,54,80,97,70,69,77,62,50,64,64,54,90,63,58,54,64,61,62,71,74,62,60,84,77,54,64,58,53,65,40,58,52
claralabs,0,0,0,0,51,0,0,0,0,0,0,61,37,0,0,0,0,0,0,72,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,93,0,0,100,0,0,0,32,0,0,0,0,48,58,0,0,0
raiven,27,85,44,65,64,41,61,45,47,80,35,37,58,42,69,45,57,65,100,77,32,44,37,59,0,38,65,49,22,51,29,57,56,25,39,45,57,35,49,50,33,34,28,41,58,26,34,17,17,58,38,68
brite,71,68,72,69,100,70,69,72,68,71,70,67,68,72,71,69,74,73,73,75,72,72,68,78,75,76,75,77,71,69,68,70,71,73,68,72,69,65,66,70,66,65,64,68,63,64,63,65,68,68,70,72
inovo,91,48,52,62,63,48,64,54,52,65,75,54,61,80,47,81,76,62,65,74,79,58,69,48,58,75,87,60,80,84,64,97,57,78,59,50,87,63,67,47,56,66,52,73,72,58,74,63,56,71,100,93
drinkhint,0,0,0,0,52,25,32,0,35,26,36,0,0,0,21,0,39,0,0,0,24,0,40,38,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,21,0,25,24,0
crxmarkets,0,0,100,0,38,0,0,0,0,0,0,0,0,23,39,19,0,40,0,0,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cumul,83,79,66,55,59,61,63,53,57,68,78,77,69,73,75,73,76,69,80,65,66,70,73,75,64,68,58,46,79,92,85,100,94,87,77,88,80,80,79,81,84,78,71,73,95,69,76,58,80,67,78,88
therecount,0,0,0,0,0,0,0,77,0,61,0,100,0,19,0,0,0,15,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,18,0,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0
wahed,92,69,71,63,68,67,98,70,83,67,70,60,68,83,62,73,61,84,100,61,76,65,54,70,72,71,71,78,90,71,63,80,82,69,74,81,80,75,57,67,62,72,58,60,69,58,66,41,70,72,76,43
goradar,0,46,25,17,100,0,0,0,0,0,0,0,0,0,23,18,24,60,0,16,0,25,0,0,0,0,0,0,0,17,0,0,0,0,30,0,21,0,21,44,0,18,0,0,0,0,0,0,0,0,33,0
unl,68,58,59,54,54,57,65,67,84,93,80,67,72,82,100,69,71,70,74,73,73,72,64,77,68,66,45,33,48,52,60,79,85,75,79,76,84,80,61,74,69,71,74,68,75,71,73,74,58,60,62,72
pinterest,87,87,89,85,87,84,89,92,89,93,91,91,90,92,93,88,95,95,94,93,93,95,89,93,88,90,89,93,92,96,93,91,97,94,97,95,95,96,92,98,100,93,90,93,90,92,96,90,90,94,87,93
clinicasim,0,34,0,57,100,0,0,0,32,0,0,32,31,0,29,0,41,0,0,0,0,0,0,0,0,0,0,0,0,60,0,42,0,30,0,49,79,0,0,27,0,0,0,0,0,0,0,48,0,0,0,0
quantifind,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,21,0,0,24,37,0,0,0,0,0,0,100,0,0,0,0,62,0,19,0,0,68,0,31,0,21,0,26,0,46,0,0
raisin.com,0,0,0,17,0,0,0,0,0,0,0,0,23,0,17,0,0,100,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,45,0,0,18,0,0,0,0,0,0,0,15,0,23,21
cogniac,62,49,62,45,72,14,36,40,79,68,32,32,62,91,43,40,46,60,59,65,73,64,91,48,44,71,84,100,57,46,60,57,87,55,85,56,43,38,74,64,68,30,82,20,36,38,44,71,60,38,74,64
passfort,0,35,41,57,47,47,0,40,21,43,28,16,42,49,15,28,0,29,0,0,37,22,0,50,21,22,60,0,0,35,25,18,0,34,86,85,51,0,29,0,25,37,0,16,0,100,79,30,39,0,18,51
github,79,72,74,73,74,72,73,74,68,73,76,74,76,78,77,73,83,81,77,81,86,84,75,80,83,85,76,65,76,86,82,83,84,91,90,85,90,88,87,91,100,88,88,86,89,81,89,84,85,80,79,83
compliance.ai,0,100,72,0,0,39,39,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,97,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,53,0,0,73,0,0,0
monese,81,87,71,79,81,88,85,85,100,78,81,98,76,91,85,72,75,93,75,64,74,72,74,88,69,87,64,66,63,65,81,65,77,78,66,71,56,55,61,49,67,53,60,69,59,60,54,64,51,55,58,60
inteluck,24,33,49,0,0,0,0,0,100,0,0,0,0,0,0,0,34,0,0,0,0,22,0,0,30,0,0,0,0,0,19,0,0,0,0,21,0,34,0,63,0,0,31,0,0,76,28,47,0,0,21,0
nium,56,49,36,49,52,63,73,68,65,62,74,55,57,53,52,46,82,57,65,76,68,78,62,73,82,84,57,50,36,50,69,65,61,55,53,100,68,61,55,50,66,53,57,63,61,59,69,56,69,65,91,58
junehomes,0,0,0,0,0,0,0,88,0,36,0,32,93,0,0,0,30,0,0,0,100,0,0,0,0,0,0,0,67,0,0,0,33,0,63,38,0,0,0,0,0,0,32,0,0,0,0,0,0,0,47,0
curology,94,99,100,95,95,100,99,93,97,89,90,80,75,77,78,80,81,72,68,73,75,81,69,69,64,75,75,82,90,87,85,88,82,81,88,90,100,94,89,81,89,88,81,76,78,79,67,73,69,71,74,72
vortexa,0,17,58,31,100,45,16,41,48,17,45,20,47,0,14,45,0,35,0,51,75,46,0,19,21,40,27,0,66,44,72,23,22,47,33,43,26,39,42,17,22,21,48,16,29,44,22,0,0,0,27,0
withkoji,27,25,37,29,44,24,0,23,33,40,0,0,34,50,22,19,40,0,0,53,35,32,29,50,51,55,55,34,52,18,76,47,0,58,49,32,45,43,0,42,96,22,77,0,30,48,26,15,25,33,100,63
alphaflow,0,33,0,0,0,23,0,38,65,19,23,0,0,43,55,0,0,100,37,23,19,0,19,0,0,18,0,0,19,34,21,0,51,0,20,0,0,42,17,0,35,0,0,0,0,0,0,29,20,33,0,0
ourbranch,69,0,27,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,38,0,0,61,29,0,0,0,61,0,98,0,0,0,97,0,100,43,0,41,0,0,0,0,0,0,0,51,0,0,25,0,0
lawtrades,0,0,0,31,0,0,26,26,0,0,0,0,0,0,0,0,0,28,0,41,0,0,38,60,0,0,0,71,27,0,35,0,100,0,0,0,35,0,31,0,0,0,0,0,0,29,63,0,39,0,0,0
sporttrade,23,17,0,34,0,0,24,0,0,40,32,32,24,22,42,0,23,17,40,16,0,0,0,0,46,0,41,0,16,34,17,0,50,0,100,35,31,30,0,53,29,0,0,21,17,0,15,23,0,36,0,20
gopizza,66,23,42,33,46,60,57,52,70,10,37,72,42,27,46,0,40,34,69,51,47,12,30,59,39,45,66,100,38,33,41,36,31,38,14,0,32,38,39,42,22,25,55,26,34,60,36,68,51,64,26,61
neotiv,54,57,0,0,0,0,0,49,0,40,0,61,0,0,0,0,0,0,0,0,0,0,0,96,0,86,0,0,0,0,0,0,46,0,57,0,0,0,0,0,0,0,0,78,0,0,0,100,0,0,47,77
pana,87,86,71,72,70,70,72,78,68,72,79,73,77,75,85,90,99,99,82,94,93,99,87,86,92,87,88,92,89,88,84,86,84,81,77,82,80,81,77,76,82,96,100,74,74,71,71,76,70,82,84,80
allstripes,41,55,23,0,0,0,0,0,0,30,0,0,45,0,0,29,0,0,25,33,17,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,36,0,0,0,0,0,19,0,65,38,100,56
mobilepeople,0,0,0,0,0,0,0,0,0,0,0,100,0,0,75,0,54,0,35,0,0,0,36,0,0,41,0,0,0,0,0,0,0,59,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,30,31,34,100,38,32,31,31,31,34,31,32,31,32,31,31,30,30,32,33,31,32,30,31,33,30,29,31,32,31,31,32,31,34,33,32,32,33,33,32,32,30,32,31,30,30,30,31,31,32,31
boddlelearning,0,0,19,0,0,15,0,0,0,68,72,27,100,70,95,73,13,37,82,62,25,37,27,56,33,39,31,0,27,57,24,13,29,36,59,0,37,50,79,0,0,46,50,34,40,54,67,52,51,13,18,0
ampaire,30,60,76,56,52,48,0,90,0,63,57,61,41,26,33,37,28,34,77,0,52,36,70,47,22,60,0,46,0,36,67,36,37,100,49,24,0,45,0,0,22,25,46,66,0,56,64,17,0,45,50,44
lifegoeson,31,47,0,28,0,0,0,0,0,24,0,0,0,36,36,0,0,0,20,0,100,21,31,27,22,0,27,38,39,27,0,45,39,58,67,40,52,44,37,34,56,62,53,51,36,0,24,0,0,0,36,34
tiliter,0,0,0,0,45,0,44,0,0,62,100,0,0,0,27,0,0,0,25,0,0,0,0,23,0,0,0,0,0,0,0,0,31,0,0,0,22,0,0,0,0,0,34,0,22,0,0,0,52,0,36,0
viridos,0,0,0,0,0,0,96,42,0,0,0,33,0,89,60,0,0,90,100,49,0,0,36,0,0,0,94,0,0,0,0,66,45,69,100,40,0,0,0,32,61,0,47,0,41,0,0,0,0,0,78,0
alcemy,59,60,60,39,49,40,81,92,87,83,93,78,89,85,93,63,38,63,65,63,73,73,54,75,53,100,87,54,79,92,59,43,67,52,57,51,88,67,68,73,46,57,80,66,55,76,66,57,62,56,48,35
bink.com,0,0,0,0,26,0,0,100,91,36,0,30,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
katanamrp,0,0,28,0,22,30,0,0,52,0,0,0,33,22,0,0,34,0,0,100,0,49,0,22,0,0,0,0,0,52,0,41,0,20,18,0,20,0,0,0,0,0,0,0,28,80,0,0,0,0,0,0
proxymity,32,22,25,68,86,32,42,0,54,32,67,0,43,24,66,0,45,48,34,0,0,36,0,0,32,54,0,37,0,72,44,78,0,0,100,84,33,0,84,0,0,29,0,0,45,35,55,54,0,0,22,66
insite,84,76,77,77,77,74,73,75,79,82,86,84,83,85,81,78,89,83,84,94,93,95,82,93,97,89,92,96,96,96,92,100,96,91,85,79,87,82,76,81,77,80,77,81,78,80,81,85,85,75,78,79
zolostays,80,100,0,64,65,80,49,64,53,61,65,41,27,40,24,48,23,30,49,66,28,27,25,33,47,38,25,36,32,21,45,36,47,33,32,44,24,13,35,24,38,29,34,47,34,30,20,54,35,32,34,12
x1creditcard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,86,0,0,0,0,0,0,0,0,100,0,0,0,0,29,0,0,40,0,0,0,0,0,0,0,0,33,0
sailplay,0,0,40,0,52,0,63,0,0,0,0,0,38,0,0,0,0,0,27,0,0,0,0,68,0,0,0,35,0,0,0,100,36,0,0,0,0,0,28,25,0,47,0,0,0,0,0,0,0,0,0,0
qmenta,0,0,56,58,0,0,0,33,0,47,0,0,0,100,0,0,91,0,0,36,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,61,0,60,0,0,0,0,0,54,0,0,28,70
monetago,0,0,0,0,0,64,0,0,64,0,0,0,0,0,47,0,0,88,73,0,86,70,54,0,0,50,0,0,0,47,58,0,0,50,54,0,0,0,0,0,42,0,76,81,100,0,52,0,0,0,61,0
terminal49,0,55,0,27,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,54,0,40,22,20,0,0,0,0,0,0,24,0,0,100,0,0,0,0,0,0,0,0,0,24,0,0,0,25,0,0,0,0
urbint,38,0,0,95,0,98,0,0,71,48,0,0,64,0,0,0,29,100,34,0,0,0,0,25,32,0,0,0,20,0,0,0,19,23,18,41,0,39,0,0,0,0,20,0,0,19,40,39,0,37,0,41
portworx,69,88,79,34,79,54,57,23,25,57,42,88,72,77,0,22,59,85,55,86,67,41,63,71,89,81,13,38,68,57,71,100,12,74,71,78,82,49,52,66,47,85,75,59,46,83,43,69,69,60,60,39
botmd,0,0,0,77,0,0,0,0,49,100,76,0,0,0,0,0,62,31,0,0,0,0,0,0,96,0,0,0,57,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,48,0,89,0,0,0,0,0
nulab,39,38,16,41,37,26,38,38,30,23,72,38,31,33,60,27,40,28,53,40,50,27,37,27,55,21,30,20,30,38,34,36,44,61,32,51,27,49,35,61,49,66,42,47,51,10,54,42,100,29,49,31
,31,30,31,34,100,38,32,31,31,31,34,31,32,31,32,31,31,30,30,32,33,31,32,30,31,33,30,29,31,32,31,31,32,31,34,33,32,32,33,33,32,32,30,32,31,30,30,30,31,31,32,31
greensync,28,85,0,0,0,0,0,0,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,64,0,0,0,0,0,0,21,0,22,0,100,31,0,0,0,0,0,0
threatx,0,32,0,0,0,0,55,85,53,0,0,67,0,0,0,0,100,0,0,49,35,0,0,0,47,53,0,0,0,0,0,0,52,0,0,53,0,0,79,0,0,0,63,0,51,0,0,0,37,0,0,59
mindsay,0,52,0,32,0,0,0,26,100,0,0,24,0,0,0,0,0,0,42,0,0,0,32,27,0,0,26,0,0,45,33,0,31,0,0,0,0,27,27,0,59,0,0,0,0,0,0,0,42,87,23,0
enpicom,0,98,0,0,60,0,0,0,0,89,58,0,0,49,0,100,0,0,45,0,0,0,0,0,0,0,0,76,0,0,0,0,0,75,70,0,0,0,0,0,0,0,98,33,0,0,0,0,0,0,42,0
ambisense,45,0,33,20,70,29,51,42,100,0,0,0,33,52,0,56,34,29,0,0,59,49,28,32,38,49,61,51,45,55,48,24,51,89,0,26,46,78,0,0,25,0,69,24,54,22,37,45,38,32,40,0
place.com,67,60,55,39,58,79,100,61,71,64,77,57,49,55,81,87,82,76,63,42,48,68,61,58,40,46,40,37,39,62,30,53,47,54,61,48,41,53,62,59,37,61,56,61,68,45,27,42,57,42,51,65
titan,58,54,54,57,58,57,60,57,55,56,52,51,51,50,52,49,53,49,50,49,46,52,52,51,53,52,54,58,60,54,59,53,53,57,54,55,100,97,77,70,66,64,64,60,59,56,55,53,55,53,54,51
mentorcollective,0,0,30,0,0,0,0,0,0,0,27,0,0,71,0,0,0,0,0,0,0,0,0,0,86,0,0,40,100,0,0,34,0,0,40,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
boku,74,79,74,74,75,77,92,86,78,76,66,67,61,62,80,81,85,82,81,82,76,81,78,81,88,98,95,98,95,86,85,82,85,90,87,87,89,100,92,88,93,85,78,77,77,72,69,71,69,71,73,67
mavrx,29,0,64,0,27,0,0,0,0,0,0,0,0,0,100,0,0,0,0,24,0,49,0,63,59,0,0,0,0,0,23,0,0,0,0,0,0,0,0,27,41,52,0,0,0,0,0,0,0,0,23,0
precisionlife,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,69,0,34,0
solo.io,0,0,0,60,0,65,0,29,20,26,58,99,58,100,32,56,0,0,50,42,0,0,0,30,0,0,0,0,0,58,63,38,47,34,0,27,0,0,22,42,18,28,49,47,0,31,56,0,96,0,0,80
trii,90,92,85,81,70,76,93,67,63,86,70,62,71,96,84,94,91,76,72,52,96,60,75,56,51,79,74,84,83,65,67,65,81,78,80,82,63,81,86,93,69,79,100,80,77,83,72,83,71,67,95,75
trainual,67,78,60,47,56,77,52,92,73,62,73,39,71,100,68,49,96,57,85,68,74,53,69,54,58,63,60,49,53,62,73,80,78,57,79,45,84,68,58,68,62,61,71,63,61,60,53,65,64,71,61,74
batch.com,0,24,39,0,0,0,84,26,0,0,0,0,35,0,0,0,0,0,0,29,23,0,0,28,19,0,100,33,54,63,21,42,47,39,48,0,0,0,41,0,19,34,49,0,0,38,31,19,0,27,42,0
wingspan,69,67,61,64,53,58,58,49,48,52,48,61,71,60,61,67,60,59,58,68,60,62,61,61,63,66,65,100,82,73,66,70,65,70,67,64,67,66,62,63,63,61,61,62,68,62,60,74,62,62,60,57
ssup,14,14,12,15,16,16,15,15,13,15,14,14,15,14,15,13,15,12,12,11,11,12,12,13,14,15,13,14,16,12,13,16,15,16,14,19,16,14,27,58,55,40,39,32,28,33,28,29,31,32,48,100
expeto,43,0,39,36,77,0,62,88,34,48,0,48,58,0,29,33,25,0,44,76,0,0,0,41,34,57,0,49,0,33,100,0,25,0,42,45,36,88,0,23,0,26,57,0,0,0,46,0,28,73,53,0
kespry,0,34,0,0,27,53,32,0,0,0,0,100,0,26,25,45,0,0,34,0,0,0,0,49,44,0,46,0,0,0,97,0,0,0,0,0,0,36,0,0,43,37,0,0,0,40,0,0,0,0,46,0
babyscripts,0,33,100,0,0,32,42,33,0,0,68,0,0,0,23,0,0,0,0,0,0,0,0,50,43,62,23,23,0,35,0,0,0,82,0,0,44,25,46,25,21,0,0,0,24,0,0,51,33,0,23,33
synctera,0,0,0,45,35,0,35,19,0,0,0,0,26,0,100,0,26,15,38,0,26,20,0,0,52,0,0,0,0,0,19,23,0,45,40,28,0,29,29,26,36,32,0,0,40,0,53,18,15,24,18,29
daedalean,0,0,0,0,71,0,0,55,0,65,0,28,30,58,22,0,0,28,0,51,25,0,0,42,0,0,0,43,0,45,0,52,0,49,69,25,0,100,45,36,42,0,25,43,0,0,0,21,0,0,28,49
fluidic.com,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,55,0,61,0,0,40,0,0,0,32,0,0,0,31,0,100
selency,21,26,23,20,23,21,21,23,25,28,29,29,34,30,31,52,97,100,55,38,36,33,34,34,31,34,24,35,40,38,38,35,35,30,28,28,31,28,27,31,24,26,23,50,27,21,23,24,20,20,64,25
ispot,65,61,61,63,59,64,67,64,62,76,73,95,100,99,90,81,83,78,68,70,74,73,80,72,78,77,75,77,69,67,59,59,64,65,61,63,57,67,55,49,57,57,60,54,52,52,55,53,56,55,55,60
upperhand,56,52,54,71,52,82,38,76,52,67,55,61,60,73,49,47,0,25,30,31,51,27,19,31,34,38,67,30,55,32,82,72,54,71,63,56,86,54,96,81,24,64,84,45,46,14,64,59,60,82,52,100
entera,94,89,90,90,86,92,92,94,97,93,89,85,87,90,92,90,94,93,95,83,93,88,87,78,79,81,81,80,79,84,88,88,90,89,94,91,91,85,89,96,88,87,92,97,100,93,94,96,94,98,97,90
jobandtalent,75,70,72,77,59,72,45,62,64,62,65,75,92,77,65,97,73,91,50,82,100,71,83,79,78,59,49,47,65,64,61,69,75,96,69,60,62,73,72,52,49,56,56,71,56,60,65,62,67,69,70,53
qualia,83,90,85,89,90,85,80,78,84,72,75,84,86,84,85,78,84,84,87,95,91,84,80,77,68,84,70,70,74,79,77,88,100,86,83,80,95,96,84,87,89,88,83,86,83,72,87,76,76,83,76,86
earlysense,29,0,0,0,0,0,98,29,63,0,0,0,0,53,29,0,41,0,0,0,66,0,0,0,0,71,0,0,0,85,0,0,0,33,0,65,0,0,0,0,100,0,0,0,0,0,0,61,73,55,0,51
copy.ai,38,36,32,35,34,36,44,44,30,47,41,33,42,45,42,37,44,47,39,43,42,52,46,55,62,61,58,42,60,81,75,74,74,72,71,69,57,70,67,68,72,68,84,75,93,82,80,78,85,98,74,100
tillersystems,25,27,0,0,73,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,65,0,0,49,0,0,0,0,47,0,0,0,0,0,0,33,0,0,0,0,0,47
productfy,54,0,31,30,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,85,43,0,0,27,0,0,0,0,39,0,0,55,0,52,0,0,0,0,0,40,0,100,0,0,0,0
nftbank,57,36,0,0,0,0,0,64,0,0,0,29,38,64,35,0,0,0,0,88,59,0,90,0,0,0,45,63,63,0,0,0,0,0,0,0,0,0,0,65,0,0,100,0,40,0,0,0,27,0,0,54
playbook.com,0,0,0,0,37,26,0,0,0,100,0,52,0,0,36,32,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,51,42,38,0,38,0,0,0,0,0,0,0,0,0,29,72,0,47
encodia,34,0,34,32,46,27,31,52,28,0,0,34,32,71,24,52,0,21,33,0,0,26,56,51,0,100,25,87,31,0,25,0,0,75,0,0,0,52,34,29,0,0,34,0,0,0,0,0,0,0,26,0
unest,71,0,43,57,50,73,71,82,87,0,15,84,54,62,44,39,0,39,71,33,22,58,42,75,61,46,49,74,50,64,43,79,60,75,59,54,74,100,69,44,0,70,45,52,25,21,25,33,24,37,27,74
styla,86,86,74,75,65,59,71,83,61,88,61,60,74,74,67,79,76,77,97,76,76,98,94,97,94,74,72,80,90,69,100,78,96,76,72,60,76,73,70,65,81,73,81,59,84,57,60,60,71,62,68,68
epistemix,96,49,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,51,0,0,63,0,70,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,44,0,0,0,0,0,32,0,0,0,47,0
casai,70,68,85,69,90,100,82,73,94,73,70,88,66,55,55,68,66,57,60,54,83,61,54,62,59,59,48,94,47,80,62,66,67,63,74,52,58,60,56,62,54,46,60,49,56,39,55,63,69,35,57,64
lendingfront,0,0,32,0,0,0,0,0,0,0,0,0,0,81,26,0,0,57,0,0,0,0,0,0,0,0,0,0,40,0,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,45,50
silverfort,0,42,28,67,0,49,60,31,29,39,35,25,63,53,41,26,17,14,82,0,73,55,44,70,45,0,46,0,37,28,31,0,54,46,40,47,56,75,55,72,31,61,17,45,34,44,46,49,59,34,0,100
predictspring,0,62,0,32,28,0,27,0,0,0,45,0,0,0,0,38,0,0,0,0,0,0,26,0,38,0,0,0,0,49,25,0,0,28,25,0,56,0,0,41,0,0,23,25,54,0,0,38,0,0,100,53
tidelift,30,84,73,0,35,47,29,31,36,0,0,0,0,34,59,27,0,0,43,43,0,25,0,0,0,0,100,0,34,28,0,34,30,0,92,0,0,32,63,30,0,0,0,33,37,56,0,0,44,0,0,0
freshlycosmetics,28,0,0,0,31,0,0,0,0,0,33,27,0,0,39,0,0,0,100,0,0,43,0,0,0,0,0,0,0,34,0,0,0,54,0,0,0,0,0,0,0,26,28,0,20,0,0,0,0,0,39,0
intelipost,84,36,88,19,53,60,59,66,68,55,29,51,46,40,42,56,28,37,71,36,73,84,74,54,69,86,92,71,51,63,33,50,81,56,62,0,15,28,76,37,14,80,42,12,100,66,50,20,84,58,80,87
youtility,46,68,76,45,43,73,0,25,56,0,0,45,35,76,49,99,0,48,90,51,100,0,79,62,41,48,49,23,66,0,54,48,51,47,45,79,25,69,78,34,33,24,64,48,20,20,37,54,28,31,37,30
eigentech,0,0,0,0,49,53,53,100,0,0,62,46,0,0,0,41,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,39,0,0,76,46,0,0,35,49,0,0,0,0,0,51,0,0,0,0,0
,31,30,31,34,100,38,32,31,31,31,34,31,32,31,32,31,31,30,30,32,33,31,32,30,31,33,30,29,31,32,31,31,32,31,34,33,32,32,33,33,32,32,30,32,31,30,30,30,31,31,32,31
compt,80,88,84,84,86,76,86,79,74,78,87,86,93,73,86,79,96,80,84,89,76,79,92,83,75,79,73,100,83,68,71,80,77,79,77,72,76,75,72,82,75,76,67,86,89,84,81,80,66,76,78,80
,31,30,31,34,100,38,32,31,31,31,34,31,32,31,32,31,31,30,30,32,33,31,32,30,31,33,30,29,31,32,31,31,32,31,34,33,32,32,33,33,32,32,30,32,31,30,30,30,31,31,32,31
fyusion,0,0,0,0,84,0,0,36,0,34,0,0,35,0,0,0,0,0,0,0,38,50,0,0,60,0,33,0,0,0,0,38,40,0,0,0,0,100,69,0,42,0,0,0,0,0,0,0,30,0,45,0
chef.io,0,0,0,0,0,16,18,0,0,0,25,0,0,0,0,15,0,52,0,0,0,21,0,0,32,0,0,28,0,0,0,0,0,0,0,30,0,0,0,36,0,0,22,0,0,15,20,17,17,0,100,0
