,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
clozd,16,37,0,0,16,83,0,0,41,0,0,16,0,23,0,0,26,41,23,33,21,16,0,15,0,0,0,78,0,24,0,100,24,0,51,0,20,48,40,22,0,24,0,37,0,36,58,18,35,25,61
gnubiotics,0,0,73,0,0,0,0,0,100,0,0,53,0,47,0,0,0,54,0,0,0,0,0,68,56,0,0,0,0,0,0,0,49,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oico,62,43,44,49,41,37,50,54,44,54,51,44,55,33,71,75,60,66,24,63,58,47,49,30,100,38,59,47,69,47,54,42,40,53,63,65,48,65,57,49,42,62,56,50,69,63,36,95,72,66,65
fintecture,22,0,28,0,0,65,0,25,0,25,49,56,45,22,63,55,0,65,0,51,83,89,54,0,26,20,45,58,0,0,26,65,0,29,40,42,32,0,17,34,0,33,0,18,61,100,36,34,0,18,0
ftx,4,4,5,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,100,96,29,16,13,28,17,8,7,7,6,5,4,4,3,3,3,3,4,3,3,2,3,3,2,2,2,2,2,2
calamu,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,18,0,31,0,0,0,95,0,0,0,0,0,0,40,19,0,0,0,0,25,0,0,24,0,0,26,0,42,0,21,0,0,21,66,0
spaceflow,0,30,0,0,0,0,47,55,0,0,0,30,0,0,0,46,0,50,0,37,24,29,0,0,0,0,0,26,0,57,20,0,0,0,100,31,30,0,0,0,0,0,0,0,18,0,0,0,0,0,35
kite.com,52,0,0,57,51,0,47,0,37,23,38,0,0,0,39,0,49,0,76,0,0,0,30,29,0,0,56,0,0,100,0,35,0,49,38,0,0,0,37,40,0,38,0,0,0,0,0,46,0,0,23
pacaso,100,90,96,70,84,69,99,77,81,61,69,58,60,63,44,39,48,72,41,52,62,54,45,27,40,30,42,35,45,48,46,38,46,55,59,36,44,44,37,37,42,51,43,50,39,34,52,18,42,38,49
ch,77,82,83,91,90,100,90,93,81,89,98,96,91,95,92,89,77,90,88,82,92,85,96,90,93,93,93,92,88,92,85,93,88,94,88,92,92,93,87,87,85,78,86,89,98,92,92,93,87,83,83
fitonapp,0,0,0,0,78,0,0,0,83,0,0,0,0,0,0,51,0,0,0,0,0,60,0,0,0,0,0,53,52,0,0,0,0,0,60,96,0,0,0,88,0,0,0,0,0,0,71,77,100,0,0
benivo,0,0,31,0,0,0,70,0,37,0,0,29,0,27,57,46,27,0,43,30,0,26,0,0,0,50,60,52,0,46,0,0,25,39,0,100,71,51,34,68,0,0,68,45,31,40,32,82,0,0,0
streamnative,0,0,59,67,26,26,29,30,55,0,38,0,0,0,0,40,0,0,0,26,23,0,0,0,0,49,0,35,0,32,0,0,25,50,25,0,0,53,0,0,99,0,0,0,100,73,0,0,43,0,0
sitemate,0,0,0,0,39,49,64,37,0,0,0,0,25,34,80,0,27,0,38,0,86,100,23,0,0,29,0,27,0,53,24,63,93,0,47,0,0,0,22,57,0,0,0,25,45,29,25,78,24,89,0
,30,31,30,30,34,100,40,32,31,32,32,37,30,32,32,33,32,30,31,33,33,34,31,32,30,31,32,31,29,31,31,31,32,33,32,33,34,33,32,33,33,32,33,31,33,31,31,30,31,32,30
cybersixgill,34,0,0,0,0,0,0,100,32,0,0,0,0,0,0,0,71,0,0,33,38,0,0,51,36,85,62,74,0,0,0,0,0,0,0,0,0,0,53,44,34,0,0,47,0,0,0,0,0,0,0
,30,31,30,30,34,100,40,32,31,32,32,37,30,32,32,33,32,30,31,33,33,34,31,32,30,31,32,31,29,31,31,31,32,33,32,33,34,33,32,33,33,32,33,31,33,31,31,30,31,32,30
onekingslane,58,31,100,0,0,0,0,0,88,22,0,32,41,37,0,0,0,0,30,36,0,27,0,25,94,0,19,0,67,24,28,47,33,35,76,0,0,53,70,0,0,26,32,0,0,22,0,0,26,0,34
osome,60,52,81,59,41,70,45,65,38,69,43,65,54,71,67,53,87,64,59,68,53,96,55,44,46,90,49,58,66,100,92,84,62,71,48,64,66,50,62,86,85,69,57,79,76,55,73,81,67,82,76
grow.inc,0,0,55,0,0,0,0,0,0,0,0,52,0,0,94,48,0,0,100,0,0,0,93,0,0,0,0,0,0,61,0,0,0,41,65,77,0,0,73,0,0,0,0,0,0,0,0,79,0,0,0
imagry,32,52,38,30,30,37,33,36,46,42,57,78,61,79,100,72,91,99,57,73,84,77,62,35,78,71,85,31,28,38,80,86,58,67,66,56,66,62,83,74,67,53,65,54,80,80,60,78,57,63,57
barefootnetworks,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,38,0,0,0,0,0,38,26,0,0,23,0,0,0,0,26,0,0,0,41,0,28,0,0,0,0,39,36,36,0,0,100
wiggles,100,73,68,69,62,84,71,70,65,73,76,74,65,62,59,66,66,68,60,65,58,58,66,61,61,59,55,64,62,65,57,74,79,66,64,65,59,58,58,64,65,77,60,58,56,57,54,66,58,55,52
pathspot,0,0,0,0,35,0,0,0,0,0,18,0,0,19,0,0,32,0,34,39,0,0,19,0,0,0,0,61,0,0,0,0,0,0,0,35,0,0,0,20,0,0,0,46,19,0,29,100,31,23,0
gaiaonline,80,53,60,79,54,87,75,63,60,78,79,84,83,82,54,74,97,82,79,80,66,94,94,74,73,33,53,81,94,77,76,53,78,63,55,57,49,59,58,53,61,86,63,100,48,58,58,68,86,68,40
wati,69,69,58,72,68,71,67,64,77,69,79,77,77,83,78,82,72,74,100,82,90,83,80,75,81,82,71,60,68,69,80,70,64,76,76,80,81,75,76,82,72,83,70,77,71,62,71,84,75,74,74
conekta,100,67,64,79,68,59,92,74,79,96,62,63,72,47,62,64,91,64,61,45,67,74,79,69,63,79,71,29,51,72,59,65,72,57,73,91,79,77,85,93,59,61,61,61,77,66,80,61,56,75,87
ninox,65,100,66,74,79,67,86,73,60,56,68,70,52,64,82,83,62,64,59,92,81,55,61,95,71,100,80,63,71,91,94,71,67,79,89,89,98,95,76,55,71,46,69,73,51,62,45,67,80,78,81
