,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
helloself,48,0,0,0,78,62,0,0,49,52,0,0,0,0,0,22,100,0,0,0,36,31,32,0,26,70,0,0,0,47,0,0,47,68,0,46,24,0,49,0,0,61,0,0,87,0,0,0,0,79,0
kourts,88,38,54,0,0,0,24,0,30,0,0,0,0,27,0,0,42,0,0,0,0,98,25,0,32,0,0,89,0,28,0,0,34,0,0,45,0,0,34,0,71,35,0,44,0,0,41,100,45,78,0
awarepoint,0,0,0,0,0,0,0,77,0,0,27,0,0,61,0,0,0,0,0,0,0,42,38,50,0,0,0,0,0,30,0,0,0,0,0,0,0,28,0,0,0,0,0,48,0,0,0,0,0,100,0
haegin,37,35,69,100,56,58,24,0,19,39,26,22,0,0,0,15,16,0,53,17,70,57,34,27,22,16,0,27,47,0,17,31,28,15,0,19,13,14,26,0,0,0,0,0,39,68,17,56,0,32,21
aktiia,38,18,43,59,50,36,22,43,30,23,26,22,12,30,30,26,39,45,48,35,30,83,74,63,48,59,58,71,42,80,66,41,100,71,36,57,83,81,50,60,80,52,72,75,58,23,55,55,59,60,86
soamai,0,0,0,28,0,0,0,0,0,0,0,0,0,0,100,21,0,0,23,0,0,24,19,0,0,0,0,0,0,0,0,0,49,0,0,60,57,0,47,0,0,0,0,0,0,18,0,17,0,0,0
formassembly,62,100,65,47,42,54,36,74,35,46,63,44,48,47,66,28,55,68,56,56,30,27,43,34,69,36,55,46,21,32,59,63,60,48,37,53,38,52,40,67,57,65,26,45,57,56,30,59,24,52,23
lovegrown,0,23,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,32,38,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0,0,0,0,0,40,0,0,21,0,0,0
credi2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,34,0,0,0,29,28,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,0,0,0,0,61,0,0,0,0,0,48,0,100
zivid,0,0,23,26,0,44,35,98,0,0,24,0,0,40,0,0,0,0,0,0,0,26,32,0,76,19,32,100,70,32,63,0,33,25,21,0,55,0,0,0,0,58,0,23,70,0,0,78,0,0,38
indialends,20,38,38,57,34,44,49,53,52,72,40,46,90,94,64,90,53,54,27,35,48,35,61,33,39,78,100,44,53,42,29,54,45,37,66,74,33,38,78,59,40,45,46,51,52,38,36,35,53,20,47
yardstik,0,0,0,34,28,0,34,0,0,0,0,0,0,0,0,53,0,0,0,22,36,0,18,0,0,0,0,0,100,0,29,46,50,0,86,0,0,0,16,32,0,30,0,0,16,0,0,35,0,0,20
