,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
cfares,26.0,0,0,0,0,45,0,100,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tape.tv,0.0,0,0,0,0,0,57,0,0,0,56,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,56,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,0,0,48,0,0,0
klip.com,32.0,0,66,33,49,0,0,0,0,0,0,0,0,59,0,43,0,0,0,0,65,35,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,43,0,0,0,0,0,46,0,0,31,100,0,0
celtrak,0.0,0,0,0,0,0,0,0,71,0,0,84,0,0,0,0,49,0,0,0,0,76,0,0,0,0,0,0,0,0,0,91,0,0,0,0,50,0,0,0,0,100,32,0,0,0,33,33,0,0,0,0
ecomnova,0.0,0,0,0,0,0,0,0,0,0,0,31,91,30,0,0,0,27,31,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,100,0,0,0,0,0,28,0,0,0,0,0,0
mph,92.0,85,89,88,89,89,86,87,80,85,90,87,88,88,84,88,100,77,74,76,73,76,79,73,66,70,70,73,79,80,82,83,78,83,78,76,77,79,82,78,79,80,81,79,79,81,80,81,89,83,86,96
animationlab,0.0,0,100,0,59,97,0,0,0,46,0,0,0,0,41,0,0,77,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,56,33,0,0,72,0,0,0,0,0,0,0,0
towerpoint,0.0,29,0,0,20,24,22,43,25,0,48,0,21,28,0,0,0,48,67,44,43,32,0,78,71,55,72,64,50,0,20,49,100,75,39,0,73,59,0,20,54,20,19,50,30,0,0,0,25,0,0,0
fandango.com,78.0,100,70,84,52,14,61,65,47,16,12,44,42,30,33,45,15,41,40,38,34,27,41,15,50,52,24,39,0,63,76,0,13,33,49,79,60,13,11,0,0,12,0,55,76,39,23,0,22,42,32,82
topix,74.0,68,73,72,77,73,63,64,72,60,65,62,65,72,58,58,63,83,71,64,70,62,61,62,63,68,63,49,71,56,59,68,66,70,70,66,58,54,65,61,74,72,59,62,64,60,71,48,66,100,88,36
cebatech,0.0,0,0,0,100,0,0,0,0,0,0,0,0,0,35,0,0,0,82,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
piczo,56.0,27,28,22,66,0,0,11,11,24,35,45,31,22,23,38,0,8,21,0,37,24,25,22,10,27,33,45,10,25,8,27,17,25,8,20,25,28,11,18,17,0,19,21,19,23,11,29,14,20,12,100
lifecrowd,0.0,0,0,0,0,0,0,0,0,100,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,25,0,0,0,0,0,0,19,0
mojomotors,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,7,0,3,0,0,6,0,0,0,0,100
numira,0.0,54,32,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,48,33,0,0,0,36,26,0,0,0,0,0,0,0,0,21,20,100,0,31,0,0,0,0
breezie,28.0,0,45,14,23,32,39,27,32,44,31,44,48,58,35,0,61,12,34,0,0,31,17,16,0,26,29,22,33,34,29,48,100,46,94,65,17,65,18,61,0,26,21,10,18,45,43,57,71,30,38,0
ezhome,0.0,0,0,0,80,69,73,80,45,39,74,40,0,68,79,0,0,73,0,0,51,69,0,0,55,59,0,39,0,74,0,43,46,0,56,45,0,100,100,89,41,0,0,79,0,47,44,0,0,0,52,0
plumzi,29.0,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,30,0,0,22,0,0,0,0,18,0,0,0,0,0,100,0,0,22,0,0,0,0,0,0,0,46,47,0,0,0,0,0,0,0,0,0
mustbin,0.0,0,0,0,0,0,0,0,0,0,0,62,53,0,100,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,38,0,0,0,0,53,0,0,0,45,0,0,0,0,0
syndera,0.0,0,42,0,74,0,0,0,0,0,0,0,0,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,85,37,0,0,0,0
pathbrite,0.0,0,32,45,0,0,52,0,63,0,34,0,0,47,0,28,86,50,0,20,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
outdooraccess,0.0,0,0,22,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,34,0,0,0,0,23,0,0,0,0,30,13,14,0,0,0,0,0,0,0,26,0,0,0,0,0,16,0,0,100
nextbit,42.0,30,100,45,57,47,22,52,16,17,0,15,31,45,91,0,48,38,61,34,65,22,26,48,21,18,56,0,31,0,24,44,29,34,21,39,15,21,44,42,25,0,51,0,31,0,0,0,18,30,0,0
spaceport,17.0,19,28,20,15,14,16,18,18,14,17,16,19,14,17,17,13,27,41,24,23,24,21,25,14,13,22,16,14,18,31,100,15,19,22,19,19,19,17,13,18,16,14,18,22,17,13,17,19,16,20,15
vertexcom,0.0,7,0,0,25,9,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,25,13,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,26,0,100
reconnex,0.0,59,0,0,0,0,43,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,69,50,58,76,0,67,0,0,0,0,0,0,57,0,81,0,0,0,0,0,0
eurekster,27.0,0,0,0,0,0,25,21,0,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,25,0,0,0,0,33,0,0,0,0,0,20,0,0,0,0,0,0,25,0,22,21,0,14,0,0,100
fourpost,75.0,0,60,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,64,46,0,0,0,0,0,0,0,0,0,0,0,40,71,0,50,0,0,54,0,0,0,0,0,0,100,0,0,0
daintree,84.0,73,82,92,90,83,87,82,87,100,86,89,75,78,84,76,76,68,73,85,86,71,75,69,59,65,52,64,53,68,66,69,64,67,54,59,72,80,72,69,76,71,67,72,71,72,72,67,74,74,74,83
semisouth,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,19,0,28,54,0,0,0,0,0,0,0,16,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,19,0
e96,58.0,45,45,62,56,69,37,39,37,64,46,41,81,69,26,72,63,50,60,65,58,60,57,84,73,61,73,79,86,78,90,63,100,83,70,71,64,81,49,74,54,59,71,80,55,64,72,45,52,42,72,75
carmatch,0.0,0,0,48,0,68,0,0,28,34,0,0,34,49,0,0,0,0,0,47,0,58,30,0,27,0,0,32,0,36,0,37,0,0,75,100,46,0,43,26,57,30,0,34,80,0,0,28,0,0,31,0
wildanet,26.0,0,29,29,57,39,0,0,0,71,0,36,19,0,34,33,61,0,82,0,0,0,23,0,0,35,0,55,0,0,30,33,100,25,42,63,0,62,59,37,45,0,0,55,0,58,20,0,61,43,89,0
enswers,0.0,0,0,0,0,0,0,53,0,58,0,0,0,0,60,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,72,0,0,79,0,0,0,0,68,0,0,0,0,0,0,0,100,0,0,0,0
huginnovations,0.0,0,0,19,0,0,0,0,17,0,27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,0,0,19,0,24,0,0,0,0,0,28,0,0,0,17,0,23,0,0,0
sicortex,0.0,100,30,27,32,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,52,23,0,0,23,50,43,0,31,0,0,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feedburner,56.0,76,44,57,54,47,100,79,66,60,90,72,63,55,74,49,64,78,47,41,69,55,65,49,26,31,33,57,38,48,82,76,55,48,34,58,62,22,49,44,62,36,37,33,38,47,39,22,59,45,49,65
metamedia,0.0,0,21,0,0,0,26,25,0,0,0,0,0,81,51,44,48,0,24,0,43,0,24,0,0,31,30,0,0,0,24,19,0,100,0,0,30,24,50,0,42,69,65,88,0,37,0,56,30,94,37,0
gnip,100.0,20,0,0,44,80,45,69,56,66,79,54,0,39,0,0,0,23,73,80,63,0,41,21,32,52,26,53,37,91,0,19,19,81,41,27,0,35,60,27,31,34,0,43,0,69,27,44,39,31,22,0
populoos,0.0,0,0,0,0,0,0,49,0,0,0,56,0,0,34,67,0,31,54,100,53,0,0,0,86,59,0,0,0,0,63,0,0,33,39,0,0,60,0,48,77,35,0,60,33,0,72,0,0,47,74,0
joost,55.0,61,100,65,73,59,58,52,50,68,56,64,65,62,57,54,56,58,61,61,61,68,61,61,61,54,51,55,61,62,55,55,59,59,57,54,54,60,57,61,66,59,60,57,80,64,55,48,50,48,60,64
seesmic,0.0,0,0,100,0,0,0,0,0,19,74,0,32,0,20,0,0,0,20,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,33,0,0,30,0,0,0,0,0,0,0,0,18,46,0,0,0
openstack,100.0,90,98,100,85,97,86,87,79,89,91,88,92,82,94,92,93,77,86,89,91,79,87,99,90,93,95,86,78,60,73,90,86,79,95,98,95,90,84,84,87,93,90,85,83,78,75,76,81,86,87,42
s5tech,0.0,0,0,0,0,0,0,31,0,36,33,0,0,0,72,24,0,0,31,0,29,0,0,64,65,0,25,70,0,36,48,0,100,0,0,0,0,0,0,30,0,0,0,0,78,31,0,41,0,0,53,0
ripcode,0.0,0,0,0,66,0,0,72,0,0,0,0,0,0,0,0,0,0,0,38,0,0,58,0,45,0,0,0,0,53,0,0,0,0,100,40,0,0,0,0,62,0,68,0,48,45,0,0,0,0,70,0
getpeek,0.0,0,0,0,0,0,0,37,0,0,0,66,0,0,53,0,0,0,0,0,0,0,0,0,81,0,0,46,0,0,0,72,0,0,0,0,49,0,0,0,0,61,0,0,0,0,0,100,0,0,0,0
nsure,44.0,19,64,45,52,75,47,59,68,38,54,81,90,60,30,66,36,31,50,38,58,38,32,22,38,58,80,57,43,98,53,39,97,41,39,93,16,68,51,64,46,100,73,53,85,45,43,41,34,52,68,0
gozefo,44.0,58,48,74,68,0,100,65,35,26,76,48,47,52,30,63,63,28,38,0,39,42,70,62,82,60,0,0,70,30,37,57,0,82,49,0,50,34,91,44,34,0,73,0,0,52,0,0,21,34,20,0
nw,97.0,95,92,92,91,96,100,94,99,95,94,94,92,86,87,91,88,84,84,86,87,91,85,88,71,89,88,86,82,77,85,93,90,92,94,93,88,93,93,93,92,91,95,94,95,95,96,97,95,90,91,64
gbnews,58.0,47,34,25,71,57,43,39,49,47,52,44,54,73,71,62,60,45,65,89,84,71,55,65,66,54,68,66,72,59,83,78,63,64,53,84,80,80,89,64,83,64,66,92,50,67,72,64,100,59,92,57
compassoft,58.0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,48,75,0,0,0,0,0,0,0,0,49,0,0,0,81,0,100,0,0,0,41,66,0,0,0,0
fashionara,0.0,18,0,0,0,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,32,0,0,0,8,0,18,0,0,0,0,0,10,0,0,0,100
myspace,71.0,63,62,64,62,64,70,65,71,100,87,88,89,70,65,63,61,61,64,68,88,84,84,93,65,62,60,65,88,69,74,73,73,71,73,69,69,74,65,66,61,80,70,63,68,63,68,63,67,64,58,51
desktone,0.0,32,0,100,0,0,0,0,0,60,0,29,0,0,0,0,33,0,0,23,0,0,0,52,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,26,0,21,0,0,0,0,47,21,0,0,0
awayco,0.0,25,0,0,0,100,0,0,0,35,0,0,0,0,0,0,0,0,45,0,0,0,31,0,22,0,0,0,0,0,0,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,66,0,0,0
covata,83.0,60,79,78,79,79,85,72,43,27,57,49,60,21,36,31,56,77,50,46,42,14,29,35,65,50,33,14,48,100,40,27,35,46,70,81,72,40,39,27,47,82,40,79,37,68,60,64,64,64,99,0
storiant,30.0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,46,0,0,0,0,0,0,66,31,0,28,0,0,0,0,59,0,100,0,0,0,0,0,0,54,41,0,31,0,0,0,0,0,29,31,0,0
musicdealers,0.0,0,100,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,45,33,0,0,0,0,0,25,0,0,31,0,0,0,0,0,0,43,0,94,0,0,0
delvi,72.0,24,76,67,35,54,57,39,56,75,47,71,53,54,41,74,49,57,38,70,55,45,43,53,48,42,61,60,11,61,46,75,36,60,72,82,39,60,37,38,23,16,63,62,38,48,100,61,26,45,54,81
plantsense,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100,0,44,0,0,57,46,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,68,0,0,0,0,0,58,0,0
beatclub,28.0,65,34,20,72,43,57,37,43,0,31,32,41,92,62,23,0,35,79,29,0,42,61,34,80,52,56,20,34,0,52,47,77,49,89,67,56,67,60,27,59,16,47,100,40,62,25,23,52,67,83,0
aeluma,0.0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,29,74,32,53,0,0
chakpak,18.0,0,0,0,19,53,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,33,0,48,0,0,0,19,0,0,0,0,0,35,53,0,0,0,0,43,0,0,0,0,0,0,0,0,100,0,0,0
openhydro,0.0,0,79,0,0,0,28,0,63,35,0,0,0,0,0,0,0,0,50,0,0,0,0,61,0,32,0,0,31,0,0,0,59,0,0,0,0,0,0,0,0,0,0,37,0,0,100,34,27,64,0,0
discoveryengine,0.0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,0,0,31,24,0,20,0,0,19,0,14,0,0,18,0,0,0,19,0,0,0,0,0,0,0,0,100
inadco,0.0,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,100
chapdrive,0.0,22,0,0,0,0,0,44,0,0,0,0,31,37,0,0,13,0,16,0,0,0,0,23,0,13,0,25,0,0,0,0,36,0,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,100
tricae.com.br,0.0,0,31,0,0,0,0,0,0,0,0,0,100,0,0,0,0,25,0,0,0,0,0,0,0,0,39,0,0,0,0,0,26,0,0,0,0,0,41,0,0,0,0,0,45,34,0,0,0,0,51,0
shopigniter,37.0,0,0,0,0,0,0,0,0,0,0,41,79,0,0,0,53,0,89,0,0,53,0,0,0,0,57,0,38,0,0,0,100,0,0,87,0,0,0,0,0,0,0,72,0,0,0,0,0,0,49,0
uros,43.0,50,42,38,39,45,42,47,42,39,36,39,57,54,78,71,50,85,51,54,44,48,60,46,44,47,53,46,50,43,42,46,43,45,46,45,42,43,38,43,56,51,79,53,40,49,45,100,65,44,44,42
innopad,0.0,0,0,56,0,0,0,0,0,0,0,0,0,51,71,0,0,0,40,0,0,0,0,73,0,0,0,0,0,0,47,0,0,0,0,71,0,0,36,0,0,0,0,0,100,0,0,0,0,0,0,0
usineadesign,0.0,0,0,0,81,0,36,0,0,0,0,0,50,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,100,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
tastykhana,0.0,60,0,0,0,0,0,0,23,0,0,0,0,0,0,0,35,100,0,0,0,0,0,0,0,35,0,0,0,0,0,0,67,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
carelinx,32.0,69,69,84,49,73,38,41,48,47,32,46,72,75,0,27,19,74,38,23,38,73,26,63,0,48,43,29,12,43,25,52,42,42,39,33,28,64,42,62,35,42,46,56,49,27,26,31,100,36,60,66
boundlessgeo,0.0,0,0,0,9,0,0,0,20,0,0,18,19,0,0,0,0,34,12,0,0,0,0,10,0,0,0,0,0,0,0,53,14,11,32,0,20,19,0,0,0,0,0,0,0,18,0,0,9,9,0,100
taskbob,0.0,0,0,0,0,0,0,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,39,0,56,72,0,0,0,0,46,56,0,0,0,100,0,0,0,0
raftr,0.0,0,46,22,44,65,58,39,26,0,23,43,46,20,0,0,29,25,35,18,0,18,24,0,100,0,47,51,0,0,0,0,35,48,0,44,31,0,20,23,0,0,0,23,0,50,0,24,48,34,0,0
frnd,79.0,87,81,86,93,84,79,89,85,84,80,80,82,72,71,84,71,79,75,76,72,79,77,76,72,70,74,83,86,100,75,85,63,71,71,77,75,73,77,81,71,71,72,68,76,71,76,72,70,66,73,77
e-magy,0.0,0,0,0,0,0,57,0,0,0,0,36,84,100,0,0,82,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
securent,0.0,0,0,0,0,0,0,35,0,0,42,0,0,0,0,62,0,0,0,0,0,30,0,0,0,65,0,0,0,0,65,0,53,0,0,43,0,0,100,0,0,0,65,0,0,0,0,0,0,49,0,0
ribbit,52.0,48,30,43,38,42,39,32,44,32,41,31,30,34,35,28,42,72,43,44,36,35,30,34,31,30,33,29,29,36,41,41,42,41,39,35,34,38,39,34,35,34,36,38,31,37,39,50,59,34,38,100
pemeas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,29,0,0,50,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udcast,0.0,0,0,43,0,0,0,20,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,11,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,100
rentwiki,0.0,0,0,0,0,0,0,100,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,28,0,31,0,50,0,24,0,0,0,0,0,20,0,0,0,0,0,0,28,0,0
deviceanywhere,0.0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,51,0,0,100,0,0,0,40,0,0,0,0,82,0
myndup,0.0,100,0,0,0,0,0,24,0,0,58,35,0,0,0,25,0,71,0,76,30,0,0,20,0,0,0,44,0,38,22,0,23,0,20,0,0,56,0,0,33,0,0,0,0,47,49,0,0,0,29,0
nubridges,0.0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,53,0,0,43,0,49,0,0,0,40,0,0
whitefence,0.0,0,0,0,39,0,38,0,91,0,0,0,0,44,65,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,62,23,0,100,54,0,0,0,0,64,0,0,0,0,0,0,0,0,0,29,0
klktn,0.0,0,100,41,0,30,69,0,0,0,0,0,0,0,0,93,0,0,0,28,42,0,0,0,39,0,0,0,0,0,0,0,0,0,41,0,0,0,0,29,44,29,42,0,0,29,0,0,0,0,0,0
kwicr,30.0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,0,0,25,0,19,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,42,0,0,100
zomm,100.0,81,91,88,85,84,80,71,74,75,65,74,78,82,78,82,76,74,69,66,78,67,92,78,85,78,59,80,61,54,53,75,69,100,70,69,69,72,73,69,66,69,76,63,64,67,75,64,79,79,62,64
stepout,0.0,75,26,53,68,44,18,0,21,0,19,27,86,32,37,28,62,27,49,48,19,53,68,49,50,50,45,74,48,20,49,19,63,69,40,34,27,76,50,68,91,40,24,95,67,27,0,21,42,57,100,0
weavix,0.0,21,25,0,0,27,0,0,19,0,25,0,0,0,0,0,0,0,0,0,0,0,37,20,0,13,0,0,0,0,46,20,100,0,13,0,14,21,0,0,32,0,19,18,0,0,0,0,36,0,16,0
celiant,0.0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,51,0,0,0,0,0,0,0,53,0,0,0,0,78,47,68,75,31,33,0,0,66,29,0,0,0,47,0,0,0,100,63,69,0,0,0
wowcube,0.0,28,100,0,42,53,81,44,78,25,50,13,15,0,0,34,27,16,35,0,54,52,0,0,40,31,54,68,55,22,36,40,65,0,24,35,12,32,0,29,0,26,15,31,35,43,18,17,13,44,0,0
apacewave,15.0,0,0,0,100,0,0,41,51,22,0,0,17,22,0,0,0,0,0,32,0,0,0,0,0,0,0,50,35,0,52,0,39,0,0,67,0,0,0,0,0,25,0,37,21,0,0,0,17,40,0,0
shopmy,0.0,0,0,0,0,18,0,0,12,11,7,11,0,0,0,0,16,0,14,8,8,31,19,13,18,0,17,23,0,17,16,26,12,0,19,8,24,0,20,10,7,0,16,16,24,18,16,0,22,11,0,100
inkd,21.0,47,73,30,72,64,81,97,23,52,58,24,42,45,26,58,36,45,36,29,72,35,20,64,36,52,23,77,50,59,100,78,74,61,42,43,29,70,63,45,90,68,52,48,63,32,71,0,79,49,31,0
app,85.0,85,86,85,84,85,87,87,90,89,91,89,89,88,90,100,92,82,88,84,89,87,83,90,85,91,84,83,83,91,85,87,84,92,89,92,88,87,88,83,86,86,89,87,83,88,89,87,87,86,87,83
nom,91.0,85,88,88,76,81,87,81,81,83,86,90,83,89,87,90,91,90,95,92,91,91,92,97,91,90,92,88,85,87,93,97,93,92,92,93,91,97,94,96,95,100,99,96,95,95,93,92,96,92,92,83
autoesl,0.0,0,26,45,21,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,20,0,0,35,0,0,0,22,36,100,0,0,0,0,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
nusym,0.0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,44,0,0,0,100,0,0,46,44,0,0,0,0,0,0,0,0,0,57,0,0,0,65,0,0,0,0,0,0,0,0,0,73,0,0,0
sunswap,0.0,65,22,83,53,26,38,0,22,52,89,23,76,48,60,0,30,38,0,59,46,49,0,54,45,35,33,69,82,0,0,0,36,45,72,60,53,100,0,70,48,46,64,68,0,76,39,0,45,40,34,0
forceofnatureclean,0.0,0,0,0,0,0,0,0,0,0,56,0,0,0,32,0,0,39,0,0,0,0,0,0,55,67,53,0,0,0,0,0,57,0,0,100,0,0,83,32,35,0,42,0,0,0,32,0,0,35,0,0
centerd,29.0,67,51,44,43,62,62,38,35,27,40,82,49,40,64,44,74,53,73,50,56,35,47,46,56,60,33,56,49,26,49,31,57,63,63,100,71,29,54,46,65,65,72,74,42,93,46,59,72,56,51,52
borocredit,0.0,0,0,0,0,58,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,30,34,0,0
workstreamer,0.0,0,0,0,0,0,0,24,24,0,0,22,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,29,34,23,47,0,37,29,30,0,0,0,50,0,0,0,0
minglebox,0.0,0,0,0,0,0,34,0,0,40,100,0,93,0,0,0,0,0,0,0,0,89,0,0,0,87,0,0,0,0,0,0,0,89,0,0,60,0,35,56,0,64,0,0,0,0,0,0,43,0,0,0
hysata,44.0,49,25,0,18,51,20,11,100,20,49,17,24,24,16,35,13,0,12,17,13,36,0,0,0,10,35,0,0,14,20,20,0,39,28,28,0,19,0,0,19,19,20,66,23,0,21,10,25,24,14,0
whenu,28.0,16,57,16,42,34,38,58,0,20,0,19,18,0,23,29,54,0,76,0,32,33,54,43,12,40,45,0,29,49,14,31,71,44,53,58,100,51,41,43,47,51,67,58,36,68,23,75,46,44,26,0
goby.com,32.0,0,22,31,14,0,0,0,0,18,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,30,28,0,0,45,15,0,0,0,0,18,0,0,0,0,0,0,0,15,0,29,0,0,36,18,100
accertify,49.0,19,0,45,52,34,31,43,56,43,38,75,0,0,37,38,83,32,0,35,100,0,81,43,0,0,39,0,0,25,0,37,50,51,23,45,72,30,0,0,34,54,28,30,100,19,0,41,46,23,46,0
looksharp,35.0,33,31,19,24,27,23,10,23,25,26,30,21,35,31,16,30,20,37,59,100,39,35,30,35,37,29,34,37,28,11,18,32,16,23,24,22,19,25,22,27,29,20,17,21,19,25,27,28,29,31,0
teracent,77.0,0,62,54,0,46,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,100,0,0,0,0,0,26,0,0,0,0,35,0,0,69,69,0
madworld,18.0,10,12,12,7,11,13,13,12,13,13,11,20,24,17,18,17,36,36,36,34,30,16,6,3,8,12,12,10,19,9,15,9,16,8,9,5,7,11,11,15,10,9,13,16,26,100,57,32,16,23,56
pocketaces,0.0,34,0,0,0,17,0,0,0,0,0,29,0,0,0,0,0,36,0,100,0,0,25,0,22,36,96,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,16,0,64,0,0,0,0,32,0
enuclia,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,43,0,0,0,0,0,0,0,88,0,0,0,55,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consert,74.0,77,79,73,79,74,68,73,69,70,71,74,60,83,74,78,76,64,76,64,75,75,65,66,64,67,61,65,61,74,55,57,61,75,64,73,62,64,72,74,73,63,73,62,64,65,78,83,100,76,77,72
puttery,33.0,38,44,62,47,51,60,39,50,52,44,46,52,37,67,79,61,57,62,59,52,71,63,57,47,55,62,58,57,73,84,72,65,74,61,88,100,91,86,69,75,77,61,63,61,59,56,56,62,58,50,52
optosecurity,0.0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,75,47,0,0,0,100,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newxt,77.0,0,100,0,0,0,0,0,0,27,0,0,28,20,0,31,31,41,51,0,0,0,0,24,33,38,34,37,30,25,73,30,73,31,0,52,94,0,0,31,0,39,19,0,0,0,28,34,39,31,0,0
proreferral,0.0,0,57,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23,0,0,44,0,0,0,0,49,0,0,0,0,0,0,100,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
insiderpages,0.0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,32,0,0,36,23,0,0,45,0,0,32,0,0,0,0,0,0,20,48,63,0,0,0,0,26,0,0,0,0,21,0,0,0,100
