,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
friendfeed,82.0,82,0,75,0,0,0,0,0,0,24,0,36,0,0,0,0,27,50,0,0,0,25,24,0,42,0,0,0,0,37,48,0,100,69,24,0,0,0,27,33,31,0,0,31,0,0,31,0,0,0,0
ceyx,68.0,0,36,0,60,84,87,0,46,47,31,0,21,0,21,20,51,55,0,41,68,33,64,52,0,46,0,22,28,53,22,71,35,54,54,28,20,16,38,48,47,43,79,74,41,48,75,52,25,100,19,0
telovations,0.0,16,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,11,0,0,0,0,26,0,0,0,0,0,100
instinctiv,0.0,0,14,15,0,11,0,12,0,7,0,0,0,11,9,0,0,0,0,21,0,0,6,7,0,6,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,8,0,13,0,0,0,0,0,100
yekra,0.0,0,0,0,0,0,21,0,0,72,43,0,0,0,0,0,57,0,0,100,83,0,0,41,0,0,0,0,0,70,0,0,0,0,0,35,26,0,0,31,0,0,20,32,0,0,0,0,0,0,46,0
sportlobster,0.0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,21,9,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
weread,22.0,17,16,58,0,46,36,34,41,37,100,55,19,46,0,38,37,34,66,20,17,54,33,13,0,0,0,32,28,15,43,0,64,17,17,46,48,32,38,45,44,46,32,50,0,37,33,25,42,28,92,0
vark,74.0,72,66,56,56,67,69,81,72,71,88,83,92,84,92,100,95,75,85,75,92,73,73,76,65,57,61,57,57,54,66,73,75,85,82,72,74,91,63,81,66,63,60,66,65,66,53,49,65,55,69,77
forida,42.0,34,34,37,35,27,44,33,31,31,30,35,33,47,38,38,100,49,33,34,37,25,48,28,29,24,33,25,35,23,32,32,39,36,32,37,42,40,40,35,41,33,39,49,41,38,43,32,33,42,36,33
bluepulse,0.0,0,0,0,0,0,0,0,0,0,0,61,0,20,0,28,0,0,27,0,0,0,35,0,0,0,20,0,0,56,52,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,100,32,0,0
youwho,30.0,42,78,47,43,42,0,41,30,32,44,0,0,16,0,25,27,22,0,26,30,32,59,48,0,92,0,60,17,23,43,18,28,66,36,38,0,38,23,0,0,0,0,0,15,19,0,0,0,100,38,0
oink,78.0,77,77,80,73,73,84,78,72,77,84,85,77,75,73,76,73,73,72,81,77,70,71,81,79,81,80,82,79,100,78,75,84,90,81,88,85,88,86,83,84,84,94,94,88,90,94,97,84,90,90,97
gobee,45.0,0,44,51,55,0,0,66,45,22,16,67,71,48,35,43,55,21,19,42,68,62,43,0,18,20,60,0,0,15,0,0,20,0,39,0,50,48,14,32,0,14,0,34,0,20,43,37,0,36,0,100
dreamstage,0.0,0,0,0,0,0,0,0,10,15,28,16,0,21,0,100,43,0,0,13,11,0,34,0,0,0,16,0,0,0,0,18,0,16,0,0,15,22,18,16,0,0,0,0,0,9,11,0,19,0,0,0
hubub,0.0,34,0,62,26,0,35,0,19,73,37,19,19,27,0,29,42,0,0,0,46,100,58,58,0,18,27,0,45,0,24,0,0,53,30,43,33,29,0,0,17,35,0,85,42,0,0,21,26,52,0,0
topmall,0.0,20,32,18,24,35,23,18,0,0,49,36,0,0,18,14,0,16,0,16,0,17,0,0,0,0,0,0,0,0,0,0,22,18,0,23,0,41,0,29,0,0,0,20,0,0,0,0,0,0,0,100
stageverse,0.0,48,100,0,20,0,0,0,0,0,0,0,0,24,0,0,0,0,35,0,51,0,0,0,0,0,0,0,0,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohai,44.0,42,40,42,44,43,41,46,42,42,33,55,36,36,29,25,22,28,25,20,75,18,18,19,22,24,19,14,18,100,22,48,20,30,28,31,24,32,27,24,25,30,27,46,43,49,65,49,64,54,35,52
pingback,51.0,59,47,43,74,37,37,45,65,76,75,45,58,31,67,40,35,50,53,66,56,16,100,47,41,42,56,61,0,80,53,57,35,32,41,70,55,46,57,49,67,38,40,42,41,32,31,35,60,55,61,0
miselu,0.0,0,0,0,0,36,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,76,0,0,0,0,66,0,0,36,0,0,0,87,0,0,0,0,88,100,0,0,0,0,0,0,0,0,0
happyshop,52.0,41,0,40,89,74,59,0,70,42,0,45,0,42,37,33,0,0,0,31,56,26,61,42,0,23,23,76,26,37,26,53,25,69,30,56,100,0,37,0,51,49,68,40,75,63,61,94,51,53,30,0
assurz,0.0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,23,0,0,0,0,0,0
doolli,0.0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,100,64,0,0,29,0,0,0,0,0,0,0,0,38,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
mycash,18.0,26,39,44,19,32,31,33,70,46,44,57,48,25,33,65,47,36,11,36,36,16,56,20,33,37,49,46,60,70,75,82,34,72,100,45,89,52,77,59,79,45,32,65,58,68,66,67,55,74,60,0
oleole,57.0,60,66,70,65,54,58,54,56,59,70,60,65,57,63,71,63,68,59,51,51,68,76,72,100,90,78,79,69,72,58,65,54,46,53,53,54,57,63,51,51,55,52,43,50,45,38,39,46,51,37,67
smalldemons,0.0,0,0,0,0,0,100,0,0,0,0,0,0,0,69,0,0,0,0,97,0,0,0,88,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,52,0,0
cureforward,57.0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,14,0,13,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,100
bvfon,0.0,56,0,21,74,23,0,20,24,23,23,0,0,35,0,63,63,0,30,37,0,21,52,33,0,43,19,27,0,0,53,20,0,28,0,19,50,47,100,33,62,0,0,59,22,0,69,98,52,0,0,0
townhog,0.0,0,0,0,100,0,0,58,0,0,0,0,0,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,75,0,0,0,0,0,95,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
quarkgames,0.0,0,25,0,0,0,0,0,23,0,19,28,39,0,0,16,0,0,16,0,0,100,15,0,49,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flybeacon,0.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,21,0,0,0,0,90,0,58,27,0,68,0,0,0,0,0,73,0,0,0,27,0,0,0,0,0,0,0,0,0
reddo,63.0,55,56,42,60,87,51,38,53,37,55,45,61,78,68,71,0,37,90,37,78,84,46,20,69,73,52,65,63,91,78,42,65,73,94,100,33,32,73,55,50,50,56,23,58,72,56,86,13,62,85,0
yourvideocard,0.0,0,77,52,0,0,0,0,0,52,0,66,38,0,0,0,0,0,0,0,0,0,45,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,59,0,0,0,0,0,32,0,100,0,0
innovari,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,70,0,29,59,0,0,70,0,45,0,0,0,35,0,0,0,58,0,0,0,0,41,0,0,100,0,0,0,0
fastsoft,0.0,0,100,0,0,0,0,0,35,33,0,43,0,0,65,0,0,0,0,64,0,0,32,96,0,0,41,0,0,0,44,59,0,0,34,38,0,0,67,0,0,0,40,0,0,0,89,0,51,92,59,0
attractiveworld,0.0,0,58,0,0,0,50,28,32,0,35,0,0,0,0,0,0,0,0,35,0,0,0,0,77,0,0,0,26,29,27,0,0,0,0,0,88,0,0,0,0,0,0,52,0,0,0,0,0,0,100,0
greenbutton,0.0,0,0,0,0,40,0,0,0,0,42,0,0,0,0,0,48,0,25,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,100,0,0,0,26,0,36,33,24,0
musicnation,0.0,0,100,0,0,0,30,55,0,0,32,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,33,26,32,29,0,0,0,58,0,0,0,0,0,0
bluedot,17.0,19,31,29,35,37,100,65,15,21,17,17,18,11,18,10,18,21,18,14,16,15,19,21,20,14,21,19,17,10,11,20,21,31,19,20,19,19,24,18,14,16,19,19,16,11,16,16,19,20,20,16
podtech,0.0,0,0,0,0,15,0,0,30,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,34,12,7,0,0,0,0,0,0,12,0,7,0,0,0,0,15,0,12,0,0,0,23,100
netlog,79.0,68,72,100,70,75,74,68,57,68,75,55,79,71,53,68,87,65,90,54,70,59,73,59,54,56,52,69,56,56,73,69,73,71,82,53,58,48,64,41,64,65,54,69,65,66,85,42,97,70,85,0
tootle.co.uk,0.0,0,0,0,0,10,0,20,0,7,5,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,12,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,100
ipayst,0.0,0,0,0,67,0,36,0,0,0,0,74,0,0,0,0,100,0,0,0,0,0,0,0,0,35,0,37,0,0,0,0,0,0,0,0,38,0,0,0,31,0,0,0,0,0,32,0,0,0,0,0
