,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
boundary.com,56,38,48,0,100,45,66,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,87,0,0,0,0
tractorzoom,0,46,25,0,29,0,0,0,0,100,35,0,0,60,0,0,20,0,79,0,0,0,21,32,0,0,42,0,0,29,0,0,0,0,0,0,0,0,31,0,36,41,30,0,0,0,27,0,44,0,0
blissclub,41,34,37,41,39,53,43,69,64,61,16,30,62,68,87,60,45,70,28,38,53,76,50,81,86,92,71,49,60,47,91,48,44,86,100,68,91,83,76,87,77,95,67,93,88,52,72,77,77,71,85
mywave,45,30,81,18,42,30,52,76,39,60,100,53,80,35,55,40,36,40,28,46,69,48,83,63,60,52,55,34,70,77,73,65,52,78,63,49,42,78,25,50,49,33,56,29,52,32,44,54,31,31,59
frequenz,74,79,77,76,76,80,79,81,82,74,76,72,77,80,76,84,72,75,80,83,79,81,91,89,77,74,79,87,100,80,81,77,82,75,69,83,75,74,75,68,68,74,70,72,73,72,70,76,74,78,69
usehero,0,0,52,0,0,0,81,0,0,0,0,72,0,0,0,0,54,0,0,0,0,0,72,0,100,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
thinkvine,0,0,0,0,0,0,49,0,0,48,0,0,30,0,47,31,74,0,48,0,0,0,0,0,0,0,0,100,0,0,0,48,45,0,0,0,0,30,0,0,36,0,79,0,0,0,0,0,0,0,0
tunedcare,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,100,0,0,0,0,0,0,0,25,85,0,0,0,26,0,0,24,0,73,0,0,0,0,0,0,0,0,0,50,0,0,0,40,0,0,0
gambling.com,40,17,32,0,0,27,0,35,0,0,20,32,30,0,0,0,0,30,0,37,18,28,50,0,0,22,0,0,0,25,0,18,0,42,32,52,0,0,100,42,41,0,0,33,0,20,0,0,25,26,24
syntheticgestalt,0,0,0,0,0,0,56,0,69,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,52,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
panopen,56,0,32,0,0,0,54,0,0,0,57,0,0,28,0,37,60,67,0,0,0,0,0,0,55,0,0,0,100,0,0,42,0,0,0,0,0,0,0,53,0,33,33,0,58,0,0,49,0,0,32
telescent,30,0,0,0,0,37,62,0,27,0,0,0,0,53,0,25,33,26,0,0,0,0,0,0,0,0,0,0,49,0,0,0,53,100,0,0,0,0,0,0,0,0,0,38,0,45,0,0,0,0,28
vectara,0,20,24,21,100,24,0,36,0,0,0,58,0,0,0,0,0,21,23,0,0,22,0,37,42,0,0,0,0,0,0,0,0,0,29,52,43,0,39,0,0,0,29,0,0,50,28,38,24,47,90
ultrata,0,54,60,0,0,0,0,0,32,48,0,0,0,0,0,0,0,0,100,30,0,0,0,50,0,0,0,0,0,0,0,35,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,33
zonnepanelendelen,19,0,33,0,0,33,0,0,0,30,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,36,46,0,0,0,0,0,100,0,44,0,0,0
johnhenric,0,0,0,0,54,45,0,0,0,31,0,51,27,41,0,49,0,69,0,0,0,0,0,59,62,0,0,0,76,55,0,0,0,0,31,0,0,0,0,0,0,0,43,0,0,0,0,0,0,66,100
plotx,19,0,44,0,28,100,35,21,14,0,23,32,0,38,0,15,0,0,0,13,28,19,18,0,24,0,34,14,46,0,15,0,0,0,0,27,0,14,0,0,0,0,0,0,0,11,0,0,25,13,0
elodie,22,20,29,24,26,21,21,21,22,18,20,21,25,17,22,24,18,16,20,16,18,17,15,16,15,16,19,15,20,18,18,18,17,22,100,55,27,22,20,18,21,20,22,21,18,17,17,23,22,20,23
epoxy,93,99,88,93,92,95,99,95,96,97,97,92,92,92,91,90,92,88,90,90,86,89,89,79,95,84,84,76,80,92,95,86,100,95,94,91,97,93,94,92,95,96,93,91,100,98,95,90,90,100,96
astrodigital,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,24,30,65,19,0,67,0,0,0,0,0,0,62,0,0,0,0,100,0,0,0,0,0,0,0,0,0,41,0,0,40,0
bridg,85,83,72,81,78,67,84,84,67,73,89,76,81,83,70,78,84,100,87,74,97,70,78,63,65,68,87,65,75,65,80,90,83,78,61,82,86,96,94,93,86,83,88,99,86,84,93,94,82,99,93
propoly,0,23,73,0,0,47,0,0,0,79,0,0,0,0,62,0,27,0,0,27,0,0,25,59,55,0,21,31,0,0,0,25,0,0,0,100,36,0,24,74,36,0,0,0,31,19,0,47,26,39,0
cove.is,0,100,43,49,0,0,0,0,0,0,24,17,17,32,31,66,0,0,0,0,38,0,0,44,0,27,0,0,0,0,0,0,0,20,0,0,0,0,20,22,22,0,0,0,0,16,0,0,0,0,0
idonate,61,90,45,36,40,64,34,56,27,71,50,37,29,40,49,13,34,58,34,41,57,88,39,26,100,25,68,37,27,46,49,58,29,28,27,42,100,58,34,45,46,87,69,77,49,72,56,65,32,54,57
starcity,66,63,61,56,65,51,64,64,59,53,72,65,61,63,58,63,66,73,67,75,60,63,70,75,84,100,76,82,80,63,65,68,81,75,57,83,75,72,65,67,65,61,72,73,76,70,71,70,69,64,81
volometrix,37,0,0,0,35,0,0,0,0,44,0,0,0,0,0,0,50,0,0,0,31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,79,0,0,0,0
uncovertruth,0,0,0,0,100,0,0,0,0,0,42,0,0,0,60,0,0,0,0,0,0,0,35,0,0,0,86,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flumewater,0,0,0,0,0,0,0,56,0,0,0,0,0,46,0,58,0,0,0,0,0,0,0,0,0,44,0,0,0,53,81,0,0,0,0,100,0,87,0,0,0,0,0,0,44,0,46,0,0,0,0
,29,30,30,30,33,100,35,30,29,31,31,33,31,31,31,30,31,31,29,30,31,34,31,31,29,29,30,30,29,30,30,31,31,30,30,32,32,31,31,32,32,30,31,30,31,30,29,30,29,29,30
rentio,61,26,48,43,58,55,37,44,54,40,56,55,38,16,69,44,59,40,52,37,51,45,42,39,33,91,60,46,44,34,30,53,43,48,56,83,54,67,64,70,45,100,68,49,65,52,53,41,25,40,47
nocnoc,59,49,52,36,44,40,46,42,47,36,43,37,49,37,49,54,46,55,44,57,67,83,84,80,65,67,100,80,87,71,86,88,77,79,75,70,64,67,55,73,53,66,73,42,55,64,53,56,49,35,50
findity,0,0,46,52,0,45,0,0,90,16,66,17,27,31,29,72,60,30,47,83,78,48,0,0,48,61,45,39,0,0,35,53,0,0,43,17,21,35,24,0,0,42,26,23,0,29,0,36,100,45,42
foodmaven,0,0,0,0,0,0,0,62,0,0,0,40,97,61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,0,0,0,0,47,0,47,0,0,0,39,0,65,0,0,76,0
icw,81,90,94,82,85,86,80,97,72,83,79,82,73,84,74,77,80,79,66,76,67,80,80,73,80,78,70,82,79,68,87,78,89,82,76,81,80,90,80,92,100,92,88,84,97,78,78,89,86,82,76
censinet,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,100,36,0,0,56,0,0,0,0,0,25,0,0,0,27,0,38,0,25,0,22,0,23,0,0,0,0,0,0,34,42,0
