,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
teachmint,80,79,74,80,79,85,73,75,72,74,87,70,59,72,77,59,46,78,71,54,65,77,68,57,63,67,70,62,79,100,99,86,70,86,72,66,58,69,58,57,59,74,94,78,67,72,73,51,65,80,89
sensedia,64,48,38,44,54,18,37,35,37,28,37,39,41,59,73,48,84,52,57,49,41,52,0,0,19,13,40,0,33,29,35,40,21,0,25,34,30,36,30,15,37,19,17,19,39,48,0,37,25,100,32
getmosh,23,0,0,0,0,0,0,0,59,0,0,41,21,0,21,0,0,25,27,27,60,0,28,32,0,0,0,100,0,0,58,0,75,0,53,0,47,0,38,0,0,35,28,55,0,0,0,0,0,21,0
easybook,70,62,67,77,64,60,58,57,48,50,53,61,67,58,55,64,59,60,81,72,75,71,100,68,66,71,73,67,73,55,64,71,64,63,56,61,64,71,75,69,75,70,74,66,65,76,53,57,57,64,69
silencio,32,32,31,32,31,31,34,35,35,34,32,30,32,30,31,31,31,32,33,31,34,31,31,29,25,28,30,28,29,29,29,30,30,31,30,32,30,32,35,32,34,33,48,35,34,32,52,35,53,100,65
eventus,73,65,65,77,75,58,86,60,84,79,95,58,92,97,79,82,74,97,56,54,80,72,76,76,87,84,79,95,65,62,73,92,78,82,64,93,69,100,93,87,56,83,90,77,81,77,71,74,65,78,44
eventus,73,65,65,77,75,58,86,60,84,79,95,58,92,97,79,82,74,97,56,54,80,72,76,76,87,84,79,95,65,62,73,92,78,82,64,93,69,100,93,87,56,83,90,77,81,77,71,74,65,78,44
destinus,8,45,30,0,0,0,15,0,0,16,30,16,0,0,25,17,0,10,0,0,8,0,15,27,13,0,0,0,0,0,0,0,8,9,25,12,18,8,25,0,8,100,54,58,78,55,69,77,47,28,58
eologix,0,57,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,98,0,0,0,36,0,0,0,0,0,0,0,0,0,0,93,54,90,0,95,0,34,67,0,0,100,0,0,93,40,0,0
secondnature,0,26,0,23,52,100,0,36,0,0,88,0,0,43,0,0,0,43,0,0,28,0,39,31,0,0,23,0,0,31,0,25,0,41,24,46,41,24,0,25,36,0,0,62,0,0,57,0,0,34,0
subquery,89,99,99,95,98,90,90,86,84,78,94,86,82,94,91,98,81,96,100,86,96,93,95,95,92,92,98,86,59,80,88,84,81,94,94,89,96,92,82,83,88,92,77,75,80,76,63,73,70,71,74
manabie,0,61,51,61,37,49,61,31,0,75,77,18,21,64,53,100,71,36,71,35,58,0,41,0,0,60,16,20,0,37,21,49,0,0,0,0,0,69,65,48,36,32,0,20,45,0,38,0,27,0,15
odysseyinteractive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,100,0,0,21,0,0,0,0,0,0,55,22,23,0,0,0,17,0
vcita,48,75,81,63,51,91,65,96,68,76,68,72,76,64,80,89,52,69,65,100,74,89,77,37,30,43,69,65,39,79,53,74,70,84,86,91,79,69,32,33,72,71,60,39,65,61,30,69,0,58,76
confluera,0,20,17,0,0,12,0,0,0,15,0,0,0,0,0,0,40,0,16,0,0,0,20,0,13,0,0,0,0,17,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,19,19,10,0,100,12
mentorworks,0,0,0,73,0,0,0,0,0,23,25,0,0,0,0,0,0,0,27,0,0,0,0,0,0,39,78,0,0,0,0,27,28,34,0,0,0,0,0,0,100,0,0,0,23,0,38,0,0,0,47
swanbitcoin,0,0,31,0,0,0,0,0,33,98,0,28,28,0,0,0,0,0,0,0,0,0,35,0,0,0,37,39,81,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,66,0,100,0
stravito,19,0,0,0,0,0,0,0,0,17,0,0,19,49,0,26,0,0,0,14,0,0,0,0,28,0,0,0,0,28,0,37,47,14,100,0,30,0,0,0,18,27,0,19,0,0,30,13,15,25,0
happiestbaby,0,0,0,48,0,0,0,61,0,0,0,69,0,0,0,0,54,0,100,0,0,29,42,64,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,93,0,62,0,0,70,0,0,0,0,0
mapware,23,30,20,0,0,0,0,75,0,0,45,0,0,75,0,32,0,31,18,37,20,23,0,39,0,33,0,20,0,0,0,32,0,0,0,0,37,100,0,19,0,0,0,0,0,0,0,0,0,0,0
scantist,0,0,0,100,24,0,0,0,0,35,30,0,0,0,0,29,0,45,0,0,56,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,49,0,0,0,0,0,0,0,0
ontera,22,0,15,30,0,0,20,35,26,41,0,28,23,28,36,19,26,39,34,17,19,50,54,44,13,0,42,15,32,38,100,43,42,0,64,0,24,28,0,0,0,0,12,27,34,22,13,41,20,56,33
susten,77,86,94,79,86,100,86,96,80,76,89,80,82,82,86,81,68,68,82,73,84,77,74,70,72,72,70,82,84,68,76,72,77,72,87,77,77,76,69,84,77,86,81,88,77,77,75,78,76,80,87
nelo,89,88,96,88,83,82,75,82,93,85,82,64,83,67,78,71,74,73,64,71,63,83,76,87,74,53,65,73,76,71,77,73,100,74,61,68,80,64,71,70,79,82,62,77,71,76,80,77,73,80,86
cloudvelox,0,0,53,0,33,0,36,49,89,0,0,100,40,37,0,0,0,86,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,34
korukids,0,0,0,70,0,0,0,0,0,0,52,0,0,93,0,0,0,38,0,0,0,88,0,0,0,0,0,39,0,69,0,0,0,36,27,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
