,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
floatme,58,59,60,41,56,36,75,53,69,29,80,77,58,20,42,29,0,77,31,12,94,37,0,39,25,78,58,31,65,34,53,69,46,37,61,100,60,41,47,24,43,42,35,69,21,44,42,29,42,0,30
medcpu,52,0,0,32,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,100,0,0,0,35,0,0,0,30,0,0,0,0,40,0,39,0,0,0,0,0,0,0,0,29,0,29,0,0
headversity,0,100,0,0,0,0,44,0,0,79,74,0,0,0,0,0,0,0,0,73,39,0,0,0,0,0,52,0,39,0,74,73,0,0,0,0,40,0,52,61,0,0,0,0,34,0,61,0,0,67,0
boxcast,60,61,59,50,45,66,75,61,79,59,88,95,69,93,83,57,59,100,61,62,99,78,86,86,44,61,86,89,83,47,74,84,48,57,48,58,82,55,85,58,54,49,60,46,29,68,57,72,55,16,61
hopdrive,0,0,35,0,0,0,0,48,0,0,0,45,58,0,33,0,0,0,63,0,58,0,0,0,0,0,0,0,0,0,0,0,54,39,48,0,0,42,0,0,0,0,0,0,0,0,0,100,27,0,0
augmenta,0,0,24,0,11,18,8,22,15,8,16,32,0,14,14,22,26,18,23,15,10,14,19,14,21,20,71,11,27,23,22,27,29,31,16,32,13,19,30,100,38,34,16,23,18,23,12,12,23,26,17
rxlive,0,0,0,44,0,0,0,19,49,0,0,0,0,100,0,0,0,0,0,28,31,0,0,0,58,36,0,0,0,26,0,0,0,22,0,0,0,45,0,21,0,20,33,27,0,0,30,0,0,24,0
guidewheel,0,61,0,0,0,48,0,0,0,32,61,0,0,0,37,0,0,0,100,0,0,0,0,0,67,0,0,0,0,34,47,0,0,26,0,0,0,0,0,23,0,0,0,0,0,36,0,0,71,0,0
slantrange,0,0,0,0,57,0,0,0,0,53,0,0,0,0,79,26,0,34,0,71,0,0,24,0,0,37,0,0,0,0,31,73,48,0,25,0,63,0,0,0,0,42,0,0,27,0,0,0,100,0,75
splicemachine,0,0,28,0,0,0,0,33,73,0,40,0,0,0,0,29,0,0,28,0,29,0,0,0,0,100,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,37,59,0,0,0,0,0,0,0
