,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
,30,32,31,31,34,100,40,32,31,32,32,36,32,32,35,33,32,32,32,32,33,35,33,33,30,31,32,31,30,31,32,31,31,33,32,33,34,33,32,33,33,34,32,33,32,31,31,30,30,31,31
increff,32,47,14,44,74,79,72,78,100,18,16,29,21,49,37,17,29,28,26,0,29,18,38,20,29,8,26,10,32,17,22,25,0,20,23,32,25,0,38,22,0,54,15,20,12,36,15,10,0,13,53
deepset,30,35,62,21,22,70,82,0,0,28,48,29,0,38,18,26,50,0,31,56,73,55,41,39,58,53,43,51,42,35,0,30,31,26,88,51,64,67,44,80,100,0,16,31,50,43,37,42,45,24,46
madeiramadeira,37,37,29,57,60,28,41,34,35,27,29,44,30,26,27,16,17,19,22,17,20,22,31,48,39,47,41,44,22,75,81,69,74,71,38,46,46,100,62,54,37,45,48,64,55,38,25,53,42,43,48
nimbix,100,0,0,53,0,0,0,0,0,39,73,0,56,0,0,29,0,0,0,0,36,26,0,25,0,0,39,0,0,0,0,0,0,0,52,26,41,0,0,0,45,0,0,99,0,0,0,28,0,27,33
invisage,27,0,0,0,54,61,0,92,54,0,0,82,57,0,26,50,44,94,41,0,26,0,0,0,83,33,42,0,0,57,63,0,97,0,65,55,35,66,0,25,0,0,100,0,55,75,49,69,0,0,85
cdap,85,75,79,69,69,53,58,67,54,44,71,70,78,84,64,65,86,84,68,78,54,72,70,72,63,76,80,66,35,53,87,75,84,100,86,84,79,79,72,78,86,93,72,67,91,72,89,78,69,85,77
m-ize,0,0,0,0,0,0,0,0,39,60,100,0,0,39,35,0,0,0,0,0,0,61,63,0,0,0,0,0,0,0,0,0,0,0,40,0,44,0,33,0,0,0,0,0,0,0,36,0,33,0,0
voltaero,55,0,58,33,35,24,0,0,0,0,0,0,0,0,0,49,0,0,0,21,22,21,30,22,100,0,23,0,40,39,0,0,35,54,42,0,0,78,46,0,58,42,0,0,0,0,0,0,0,84,25
axsy,0,34,0,0,35,0,33,35,0,41,33,88,0,0,67,0,48,55,0,0,0,0,0,100,76,0,0,0,0,0,0,0,41,0,30,0,0,0,31,30,85,0,0,0,0,0,0,0,50,0,0
sprinklebit,0,76,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,42,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,65,0,0,0,0,0,0,50,0,0,0,0,0
felux,53,79,82,60,65,49,68,67,66,75,54,56,40,72,38,45,52,52,64,59,41,41,61,28,72,63,68,80,84,98,78,79,91,92,80,59,60,57,43,71,100,24,50,58,43,58,67,44,71,69,52
nextlabs,0,0,0,48,0,0,100,29,0,23,36,24,21,0,0,0,0,0,41,21,74,42,30,0,0,0,0,0,33,0,0,43,41,0,0,40,0,64,0,0,0,78,32,0,0,0,0,0,20,22,24
hq,93,100,90,89,92,91,95,93,97,97,92,89,87,86,84,86,82,87,82,87,90,87,90,84,83,86,86,84,79,80,85,82,86,86,87,87,91,86,91,86,86,90,87,84,86,89,87,88,90,89,86
wholemeaning,0,94,0,0,0,49,0,51,0,0,0,0,0,0,0,0,0,0,0,0,50,61,0,0,42,0,0,0,64,75,47,72,0,0,41,0,0,0,57,59,100,0,0,0,51,0,36,0,0,0,0
alvalabs,38,0,65,0,0,0,0,0,0,37,0,0,0,0,64,49,45,0,0,0,58,0,0,0,0,0,0,41,0,42,0,0,40,0,0,0,0,0,61,53,0,0,87,100,0,0,0,74,0,34,0
virtualhealth,0,0,0,0,0,0,0,0,42,37,43,40,39,0,0,0,100,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,29,35,0,0,39,0,0,0,24
smartdrive,69,70,72,81,53,100,65,84,63,84,45,65,64,71,38,58,54,60,58,50,24,38,39,61,46,51,63,21,31,63,50,58,26,41,43,46,55,53,30,54,40,76,63,56,27,38,56,40,46,41,53
investedge,0,0,41,0,0,42,0,0,0,0,0,0,100,0,0,23,0,0,0,0,0,37,0,0,0,0,0,0,0,0,34,0,51,0,0,0,0,0,25,0,0,0,0,0,0,0,0,28,0,22,29
immervision,0,0,92,0,0,51,0,0,0,52,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,99,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
hellobetter,26,27,29,24,78,55,61,68,0,72,0,88,35,0,43,18,0,70,37,63,61,22,67,31,78,23,58,18,0,18,27,76,0,84,82,88,100,50,45,73,50,40,54,45,70,30,53,38,41,60,0
headspace,89,83,82,72,80,78,81,79,78,90,92,91,91,87,85,90,94,93,85,85,92,89,94,87,87,76,74,73,73,100,98,92,88,91,95,79,89,89,91,82,92,85,76,72,68,74,76,83,77,76,69
mykaleidoscope,58,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,100,0,31,0,0,0,0,0,0,0,0,0,0,33,32,0,0,0,28,0,0,0,0,39,0,0,26,0,0,0,29,32,0
clarisights,48,0,100,31,28,50,32,0,68,43,0,0,0,0,39,93,0,47,0,0,45,0,64,0,0,0,0,0,0,30,0,0,73,0,0,0,0,82,56,0,0,27,0,53,0,75,0,0,57,0,59
