,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
cevena,40,0,0,0,0,0,29,49,98,27,100,61,33,46,0,0,90,0,0,35,27,76,58,0,27,89,0,0,0,0,40,56,0,0,27,40,0,52,35,38,36,50,0,68,0,0,0,0,0,0,61
intenthq,0,0,44,0,100,0,40,0,0,0,0,0,0,0,50,0,0,0,47,41,0,0,0,0,0,0,0,0,0,61,38,0,71,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,64
,30,31,30,31,34,100,42,32,32,32,31,34,31,32,32,33,32,31,31,32,34,34,33,32,31,31,32,31,31,32,31,31,32,33,32,34,33,32,32,33,32,32,33,31,32,30,31,31,30,29,30
sparkneuro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,39,91,0,0,40,35,0,0,37,0,74,0,0,0,59,100,0,0,0,0,0,0,0,0,0
datasynapse,22,0,0,0,27,0,18,0,0,0,37,30,0,0,0,0,0,18,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,40,0,0,61,28,0,0,0,43,0,0,100,16,22,22,0
cortical.io,37,0,0,0,0,0,0,0,0,38,0,47,0,0,0,0,0,0,0,0,38,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,97,32,38,0,0,0,0,100,39
aveksa,49,0,0,0,26,0,0,100,0,0,0,0,0,78,60,32,0,0,0,38,0,0,37,73,77,0,0,56,0,61,0,0,0,0,0,52,0,37,0,62,24,0,0,0,0,34,0,0,61,0,0
crewt,77,25,0,48,24,33,29,0,49,0,0,42,26,86,60,58,47,18,19,0,20,49,0,18,20,45,19,32,0,68,66,0,0,0,53,0,100,73,0,0,0,34,0,52,23,0,21,0,63,0,32
accelleran,0,68,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,0,49,39,0,0,0,66,0,0,0,0,0,0,0,0,0,0,100,0
derbystars,0,0,0,0,0,47,38,0,0,100,0,80,0,38,0,35,0,0,57,31,0,42,0,65,70,0,0,0,0,0,0,0,0,0,44,0,0,0,35,0,0,0,0,47,0,0,0,0,0,0,0
vntrip,75,43,100,77,42,44,83,51,0,21,26,0,58,57,41,0,0,58,21,25,40,61,34,0,0,0,70,61,24,39,83,0,0,30,0,0,26,0,39,31,75,67,71,27,49,45,0,0,85,37,40
filesx,0,0,0,23,21,29,75,68,0,0,100,0,0,26,0,38,25,21,0,23,0,49,0,0,19,0,0,0,0,0,0,0,0,0,21,0,17,0,0,0,23,59,0,0,0,0,0,0,35,0,0
codehunter,0,41,0,0,0,0,0,0,44,0,0,61,0,29,26,27,0,0,0,0,0,60,0,0,32,0,46,0,0,0,100,0,0,0,54,0,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0
nuve,77,79,68,64,74,72,69,73,74,73,84,75,76,79,78,81,86,82,76,84,73,73,83,72,87,69,70,49,61,58,70,80,65,69,79,77,78,77,84,89,77,76,67,85,84,93,68,81,81,85,100
promaxo,0,33,0,0,0,0,0,0,0,0,0,0,0,53,0,0,64,72,88,0,26,0,0,0,0,39,0,0,0,0,27,0,0,31,0,0,0,0,0,30,67,0,0,40,0,0,0,43,38,38,100
varinos,29,38,0,42,24,38,0,92,52,42,22,100,47,51,62,0,0,23,0,0,28,25,0,0,0,0,0,56,0,0,50,0,0,0,34,0,36,0,0,0,22,34,0,39,0,0,0,44,0,26,0
studio-mcgee,0,0,0,0,53,0,0,0,0,0,0,93,0,0,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
retailmenot,65,61,58,61,64,60,60,64,62,68,61,60,56,53,53,56,51,58,56,54,59,60,69,100,91,79,78,67,71,59,57,58,55,57,54,52,59,55,54,52,52,50,50,49,48,45,49,50,53,50,49
fodabox,75,0,0,38,0,34,0,0,0,47,0,0,0,0,0,0,0,0,0,81,82,0,0,0,61,42,0,34,36,34,0,0,0,0,0,35,59,0,0,0,0,40,0,0,0,0,100,34,0,49,82
residently,100,0,0,77,0,0,0,0,64,0,0,0,0,0,87,0,75,65,0,35,97,0,0,51,0,30,0,33,0,0,0,0,0,0,0,55,0,47,36,0,0,0,0,0,0,0,0,0,40,0,0
arstasis,0,100,0,0,0,0,0,41,0,0,0,0,0,0,0,0,35,0,0,0,0,0,24,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,38,0,50,0,0,0,0,70,0,0,0,0,0
travador,45,51,62,64,64,52,44,68,95,82,92,64,87,72,65,57,65,79,69,80,100,69,52,71,45,55,60,44,48,54,66,63,58,86,71,40,41,50,56,50,48,58,47,40,63,51,52,52,66,68,57
digitick,29,66,76,65,70,54,0,61,0,53,41,45,89,38,79,65,76,92,50,62,54,63,44,100,73,26,58,75,38,55,26,45,66,97,98,63,30,51,0,66,42,42,33,21,43,0,44,61,48,55,50
mix.com,39,38,40,42,48,32,44,38,57,45,48,67,50,38,54,48,57,67,41,50,61,50,76,43,56,53,56,68,64,45,61,57,63,61,51,52,64,58,29,49,49,54,60,52,59,49,67,48,60,68,100
rahoo,50,43,38,90,80,69,33,75,85,61,47,74,52,50,32,72,37,51,40,63,41,32,36,16,21,55,0,38,34,0,42,16,54,43,0,67,49,0,21,34,0,35,31,100,45,22,55,50,70,77,49
moovaz,0,28,0,0,0,65,70,0,0,0,0,31,30,0,100,39,0,68,0,0,0,0,0,0,36,0,0,0,0,0,0,0,40,0,0,0,52,27,60,0,0,0,0,0,0,0,37,32,35,0,0
,30,31,30,31,34,100,42,32,32,32,31,34,31,32,32,33,32,31,31,32,34,34,33,32,31,31,32,31,31,32,31,31,32,33,32,34,33,32,32,33,32,32,33,31,32,30,31,31,30,29,30
saytechnologies,100,0,0,54,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,42,0,0,0,98,0,0,0,0,0,0,0,0,48
epilog,70,54,52,45,56,41,46,47,50,48,60,57,56,67,62,68,62,60,55,59,67,62,67,57,84,74,64,52,67,57,66,67,66,72,70,70,72,80,85,85,65,83,89,70,58,54,79,95,87,92,100
fika,100,92,76,86,91,88,87,96,93,82,84,92,87,87,87,89,87,92,87,90,96,91,85,91,85,94,98,92,82,88,88,87,97,93,86,87,95,87,95,88,89,89,91,85,85,83,81,84,85,84,93
mobileday,0,0,0,40,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,71,28,42,0,0,0,0,0,0,100,0,0,0,0
tiffinlabs,36,67,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,21,32,0,0,0,20,0,100,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,90,21,0,0,0,42,50
bangergames,0,0,0,0,0,65,62,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,49,0,64,0,0,0,38,0,0,63,0,0,0,80,47,0,0,0,100,0,0,0
govx,45,47,39,45,47,43,94,100,73,54,53,47,67,75,61,47,49,50,39,40,44,55,53,63,50,52,49,42,55,44,42,35,45,49,41,43,47,44,42,52,45,51,48,47,48,50,49,51,45,50,63
ecochlor,0,27,17,0,0,0,0,23,0,0,0,0,0,0,0,100,0,0,37,41,0,29,35,0,16,0,0,0,0,30,18,0,0,0,0,22,0,0,16,20,0,0,0,0,0,21,0,0,0,0,17
maedchenflohmarkt,0,0,0,0,0,82,0,0,0,0,86,57,96,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,84,0,0,0,62,0,69,49,0,36,79,0,0,78,0,0,44,0,0,0,0,0
shoretrade,0,38,0,0,0,34,0,0,70,100,0,0,0,27,0,25,41,74,0,79,26,0,0,45,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,23,43,0,0,0,0,0,0,0,0,0,0
manager.one,28,0,0,0,45,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,30,27,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,100,50,69
,30,31,30,31,34,100,42,32,32,32,31,34,31,32,32,33,32,31,31,32,34,34,33,32,31,31,32,31,31,32,31,31,32,33,32,34,33,32,32,33,32,32,33,31,32,30,31,31,30,29,30
yac,65,58,61,59,63,54,69,51,58,55,69,56,59,74,64,58,64,78,76,71,65,72,74,77,74,72,71,68,68,56,70,84,72,66,68,81,74,72,65,100,76,67,63,71,82,68,79,74,60,63,71
pathpoint,0,0,31,64,52,37,21,53,31,0,0,41,29,49,32,43,0,100,15,16,42,56,29,18,0,46,0,0,0,31,32,33,33,0,94,0,44,54,67,23,36,0,20,28,56,40,38,21,53,0,0
,30,31,30,31,34,100,42,32,32,32,31,34,31,32,32,33,32,31,31,32,34,34,33,32,31,31,32,31,31,32,31,31,32,33,32,34,33,32,32,33,32,32,33,31,32,30,31,31,30,29,30
gecco,51,86,73,94,81,80,77,90,73,64,82,63,53,86,61,59,67,61,100,62,84,57,65,80,79,67,44,56,75,59,70,64,90,84,71,87,69,70,88,66,78,60,78,62,74,70,58,58,61,49,51
manabo,35,59,45,23,35,44,32,28,28,18,32,12,12,28,46,33,50,38,31,29,35,32,31,9,22,26,35,38,14,19,34,33,46,21,18,12,27,23,20,24,26,8,52,100,66,57,17,50,41,44,64
xemelgo,0,71,32,64,54,0,0,87,0,0,0,0,0,0,0,0,0,0,46,0,100,0,66,0,0,0,0,0,0,0,38,0,0,0,0,0,0,46,31,0,0,0,0,0,31,0,0,44,54,0,0
alphadraft,0,0,0,29,0,0,0,0,100,0,0,0,58,0,50,0,43,0,0,47,0,0,0,0,0,0,41,86,50,0,0,90,0,0,0,0,0,0,25,0,0,0,0,0,0,0,78,0,84,0,44
zverse,40,0,0,0,0,0,0,0,49,0,100,27,0,0,0,0,35,0,0,0,31,0,0,0,0,0,24,40,0,0,0,0,0,36,0,40,0,0,0,38,43,0,0,0,23,56,38,0,0,25,0
hellotill,0,0,0,0,0,0,0,0,0,37,100,0,0,0,0,0,0,0,0,0,34,0,54,0,61,26,0,0,0,0,0,0,34,0,0,99,0,0,0,0,32,0,0,0,0,36,0,0,0,0,0
bestofmedia,0,32,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,43,0,31,0,0,0,0,0,0,0,100,0
