,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
triplew,0,0,0,0,0,0,0,0,38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,62,34,41,0,35,61,0,0,59,0,0,0,0,0,39,0,42,0
reach.ly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,54,48,0,0,0,0,25,0,0,0,24,0,0,0,51,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,33,0
indegy,0,0,0,76,0,0,0,0,100,0,0,84,76,0,0,96,0,0,0,0,0,66,0,0,0,44,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,85,0
mocktails,54,51,54,58,51,53,46,50,59,57,50,48,49,44,46,45,40,48,45,47,48,48,45,54,51,51,53,77,100,84,70,72,64,58,62,60,58,50,58,59,52,62,63,61,66,66,65,69,65,66,64
leapmotion,45,32,38,45,69,47,42,0,79,73,94,44,0,0,77,82,50,100,48,73,63,55,46,68,49,44,18,29,50,67,44,33,0,47,38,46,48,38,32,76,16,0,41,45,41,18,26,20,24,44,61
trainright,0,56,0,0,0,0,0,100,30,0,0,21,63,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,58,0,0,0,0,0,0,41,0,0,26,0,0,0,0,0,87,38,0,0,0,0,0
memecosmetics,0,0,34,0,0,0,38,0,0,33,0,0,0,0,0,49,33,0,0,0,0,0,35,0,0,0,0,0,39,0,47,0,0,0,39,0,0,0,0,0,0,0,0,33,52,100,53,55,0,0,0
gluent,17,0,0,40,40,0,0,0,43,23,31,28,0,20,21,28,18,0,41,35,66,16,68,0,39,47,0,82,0,0,100,0,0,0,75,0,38,29,23,0,22,58,32,0,0,0,38,53,23,29,17
opensolar,17,36,23,26,0,25,33,32,11,69,56,50,56,60,57,89,0,54,44,14,29,37,25,43,72,0,0,25,18,47,34,40,35,100,54,20,28,26,36,60,23,32,35,49,47,48,59,74,49,35,39
akuity,77,42,100,0,44,60,0,0,0,0,0,0,0,0,0,89,0,77,0,0,0,0,65,0,50,0,0,54,50,67,68,0,0,0,50,0,62,51,79,0,0,0,41,0,0,0,0,69,0,57,69
avi-on,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,43,40,0,0,0,0,0,42,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
journera,0,50,37,47,56,0,54,0,35,62,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,48,0,0,0,0,32,0,0,0,0,68,0,0,67,0,0,0,0,0,0,0,0
aerospike,65,49,62,57,82,68,53,53,68,81,76,70,56,72,69,66,43,76,57,62,60,46,73,60,68,63,73,65,41,64,73,58,73,65,100,72,68,78,59,46,67,62,68,63,86,74,74,63,62,57,54
,29,30,30,30,33,100,35,30,29,31,31,33,31,31,31,30,31,31,29,30,31,34,31,31,29,29,30,30,29,30,30,31,31,30,30,32,32,31,31,32,32,30,31,30,31,30,29,30,29,29,30
