,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
,30,32,32,29,33,100,41,32,32,34,33,36,32,34,33,31,33,33,31,33,34,35,33,34,31,32,33,30,32,32,31,33,33,33,33,36,34,33,33,32,33,33,34,31,32,32,31,32,32,32,33
adsmurai,90,0,0,0,0,0,0,33,0,26,43,0,0,0,0,0,32,0,29,0,38,37,42,0,0,0,0,0,0,100,0,0,40,0,0,0,0,88,33,0,0,100,63,44,0,0,0,28,57,0,96
petdoc,28,18,0,0,0,26,26,0,0,28,16,0,0,0,0,0,14,0,0,0,0,0,0,100,0,0,0,0,0,30,0,63,29,15,0,0,0,31,0,37,0,0,13,0,16,0,0,13,13,0,0
brooklynfitboxing,29,0,0,0,42,0,0,0,0,0,94,26,0,0,0,100,27,0,0,0,0,26,0,0,0,0,46,47,0,0,0,40,0,0,0,0,0,0,0,0,0,29,81,0,37,0,0,0,0,25,0
loc8,0,23,0,69,0,0,62,89,0,82,0,86,36,74,0,0,27,20,35,31,0,32,28,0,0,33,77,0,0,0,62,0,39,45,53,70,100,33,0,52,0,33,30,59,48,35,0,0,35,0,0
litty,61,63,61,48,70,51,62,62,58,70,56,57,55,58,55,53,58,51,49,53,67,60,70,48,48,56,75,62,67,67,64,66,58,66,66,63,73,67,60,51,65,55,67,57,61,62,54,65,83,100,92
vilynx,0,0,0,0,0,31,0,0,0,0,100,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,46,28,0,0,0,0,0,0,0,25,0,0,0,41,0,0,41,0,0,0,0,0,0
1366tech,0,0,0,76,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,36,0,28,100,0,0,0,0,0,0,34,0,0,27,0,0,0,0,0,25,0,47,21,0,0,0,0,0,0,0,0,0
freespira,86,0,0,0,48,86,0,0,0,0,52,0,50,0,0,0,0,65,0,42,0,63,0,0,39,0,0,0,50,100,41,27,70,0,0,0,0,30,0,0,0,33,58,0,0,50,0,0,0,0,0
intelliboard,0,57,34,40,0,0,0,0,0,0,100,0,80,40,0,38,0,26,48,0,0,0,0,34,0,32,0,0,0,0,94,0,0,0,0,0,0,32,23,0,0,37,50,0,66,0,32,57,82,0,0
colorfil,47,71,39,45,54,47,100,45,46,24,32,42,71,0,61,0,57,28,29,70,28,67,0,43,0,65,41,0,0,35,43,0,67,61,82,0,59,67,77,48,51,75,56,30,61,0,51,51,41,60,0
turingsense,40,27,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,100,0,77,52,0,21,0,27,0,0,0,82,0,0,36,0,0,0,0,0,50,0,0,45,0,0,0
farmobile,0,0,69,76,0,73,54,43,0,0,0,36,0,0,0,0,0,0,0,41,37,0,0,0,0,45,0,0,46,0,0,0,0,29,27,0,0,35,0,0,0,29,0,0,41,38,27,0,100,0,0
formelife,0,0,34,0,0,0,47,36,0,83,66,0,0,0,0,32,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,36,0,0,0,44,0,0,0
geotoll,36,0,0,55,0,0,0,0,96,0,49,0,0,0,0,0,0,100,0,0,0,0,94,43,0,0,0,0,0,55,0,0,0,0,0,0,0,0,98,0,0,0,0,0,71,0,0,0,46,0,0
smartstory,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,43,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
headsupfortails,55,45,44,37,63,77,66,52,35,20,50,40,54,54,41,38,16,0,39,70,50,100,68,43,55,43,41,33,46,0,37,26,89,53,33,58,25,13,27,23,15,69,98,0,37,25,43,31,49,0,52
pozyx,0,31,37,0,0,0,96,0,0,75,0,0,0,44,0,0,38,40,36,30,0,19,17,0,22,43,0,100,0,0,18,0,39,0,0,20,92,0,0,25,0,30,27,23,0,0,31,29,21,24,60
micropelt,0,0,0,41,0,0,70,0,65,0,0,0,0,41,100,0,0,0,0,0,0,34,0,0,49,0,0,0,0,0,0,49,0,80,0,0,86,0,0,0,0,0,0,52,0,0,0,55,0,61,0
checkstep,0,89,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,45,44,0,0,0,0,0,0,0,33,0,0,43,67,48,0,0,100,0,0,0,0,24,72,0,0,0,29,0,0,0,0,27,100
tvunetworks,0,37,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,24,0,0,0,0,0,0,0,0,0,0,0,36,0
voxel8,19,0,0,0,39,0,0,0,0,20,0,0,26,27,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,100,0,0,23,0,24,0,0,0,0,0,0,0,0,24,0,0,0,36,0,0,0
getagent,18,54,29,99,36,21,29,30,0,0,57,17,0,66,41,55,25,18,0,0,0,22,0,22,0,35,22,18,0,61,33,48,0,32,0,0,61,0,20,60,17,0,24,0,0,0,22,0,25,17,100
sourceclear,0,0,24,0,0,100,0,21,0,0,0,0,24,0,0,0,21,0,0,0,0,0,0,38,45,0,38,27,0,42,0,0,0,0,0,0,0,0,19,0,0,0,25,0,0,0,41,0,42,0,0
reddoor,56,51,37,33,52,69,53,47,30,83,79,83,64,92,47,86,27,71,53,46,45,49,51,63,83,36,73,38,66,57,46,33,48,45,63,100,35,45,49,40,25,53,44,55,44,43,61,61,49,39,86
mobilengine,0,0,0,0,0,44,0,0,0,0,0,40,0,0,0,0,0,87,0,0,0,33,0,0,0,100,0,0,0,0,74,36,0,0,0,0,0,24,0,0,0,0,0,76,50,0,81,0,0,0,0
controlcircle,0,0,0,0,0,0,0,0,69,0,0,100,0,0,38,0,0,0,0,0,0,0,0,0,26,0,49,0,0,0,0,23,0,0,0,31,25,0,0,0,0,0,29,0,0,0,29,0,0,0,0
unbound.com,0,38,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,85,0,38,0,0,0,53,0,48,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,42,0,0,0,63
neuralitic,0,0,0,0,0,0,29,0,0,0,0,22,0,0,36,0,26,0,0,0,35,0,0,15,20,100,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,52,60
rezatec,0,0,0,27,0,0,0,0,0,0,0,28,0,0,81,29,0,71,0,0,0,0,0,0,0,0,0,0,75,0,0,0,33,0,0,41,0,28,0,0,0,100,30,0,0,0,0,0,0,0,57
pwnieexpress,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,0,67,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,88,0,0,0,58,0,0,0,57,0,82
intactphone,100,0,0,0,0,0,0,0,37,0,69,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathrooms,87,92,95,83,90,99,90,88,100,91,88,90,88,84,84,74,83,82,81,81,84,79,82,71,68,66,62,57,76,87,89,95,92,92,86,91,87,87,88,79,86,89,73,93,79,80,73,80,86,87,80
joulex,0,0,0,0,0,0,32,0,0,33,0,88,0,0,60,68,0,0,0,0,0,0,0,0,33,0,0,48,0,25,0,0,0,0,0,0,0,0,0,0,33,0,0,26,0,0,0,100,37,0,27
