Year,FIPS,Name,pct_white,pct_black,pct_indian,pct_asian,pct_hispanic
2005,01003,"Baldwin County, Alabama",87.94729161729673,10.167504396522693,0.4508774336779875,0.2756401461765843,100.0
2005,01015,"Calhoun County, Alabama",78.08440079444617,19.455731491773108,0.6268107359559775,0.6204333011424719,100.0
2005,01043,"Cullman County, Alabama",-1267619.9155765134,-1267619.9155765134,-1267619.9155765134,-1267619.9155765134,100.0
2005,01049,"DeKalb County, Alabama",91.93157347869953,1.7513213968406944,1.18059843088831,0.0406583643290617,100.0
2005,01051,"Elmore County, Alabama",79.18803356010403,17.361917216450916,0.10579367295061493,0.34823750679577414,100.0
2005,01055,"Etowah County, Alabama",83.19542070765489,14.20747199731095,0.38457355834346674,0.45476564739844394,100.0
2005,01069,"Houston County, Alabama",71.26668886478126,25.7999377020655,0.7175003490832537,0.8077249438781539,100.0
2005,01073,"Jefferson County, Alabama",56.207358693450104,40.938147703719864,0.14228054044787983,1.0807399211457247,100.0
2005,01077,"Lauderdale County, Alabama",-1164171.4580083354,-1164171.4580083354,-1164171.4580083354,-1164171.4580083354,100.0
2005,01081,"Lee County, Alabama",73.13591316658801,22.989280657992314,0.09354142789725611,1.8935818782444551,100.0
2005,01083,"Limestone County, Alabama",84.00053120066106,11.863481430110225,0.8425432707205147,0.23461362529695592,100.0
2005,01089,"Madison County, Alabama",71.97146540610227,22.37868500214869,1.1279759346798452,2.38109153416416,100.0
2005,01095,"Marshall County, Alabama",96.32893151591033,1.461104155347145,0.585859063097966,0.09449339727386549,100.0
2005,01097,"Mobile County, Alabama",61.58009070467625,34.566103891154384,0.6915913970298665,1.6202345109696763,100.0
2005,01101,"Montgomery County, Alabama",44.98075214687592,52.20514486039336,0.2560012226924069,1.308662966748498,100.0
2005,01103,"Morgan County, Alabama",83.28110352216419,10.370965581893666,0.523190928976385,0.601758850051337,100.0
2005,01115,"St. Clair County, Alabama",-1386962.550624133,-1386962.550624133,-1386962.550624133,-1386962.550624133,100.0
2005,01117,"Shelby County, Alabama",87.4297794160945,9.198454852728151,0.18666603855801958,1.5533911978424468,100.0
2005,01121,"Talladega County, Alabama",67.68275252722123,28.910371352095837,0.5860034822379876,0.37031262181336244,100.0
2005,01125,"Tuscaloosa County, Alabama",67.81921999167427,29.386692513684633,0.34856194896456594,0.8766861140623932,100.0
2005,01127,"Walker County, Alabama",-1447261.7792636333,-1447261.7792636333,-1447261.7792636333,-1447261.7792636333,100.0
2005,02020,"Anchorage Municipality, Alaska",69.7684025521911,6.214112159710982,5.972262384473545,6.952805494947068,100.0
2005,02090,"Fairbanks North Star Borough, Alaska",78.1187242995123,5.381562589652864,7.276226451181027,2.0285454719326768,100.0
2005,02170,"Matanuska-Susitna Borough, Alaska",87.60816522446368,0.7719897068039092,3.0826255649924668,0.7559899201343983,100.0
2005,04001,"Apache County, Arizona",-1469075.9497576023,-1469075.9497576023,-1469075.9497576023,-1469075.9497576023,100.0
2005,04003,"Cochise County, Arizona",84.67439948853777,3.5345693670654854,0.5048198673187256,1.3882546351264955,100.0
2005,04005,"Coconino County, Arizona",61.48241372458104,1.4398556004504206,29.847817447174936,1.095416307875737,100.0
2005,04013,"Maricopa County, Arizona",78.33501912106591,3.8445985912904184,1.863927967107088,2.6965548662639343,100.0
2005,04015,"Mohave County, Arizona",89.81281826540982,0.5065360355758217,2.2498373384811448,0.8770278917453984,100.0
2005,04017,"Navajo County, Arizona",43.83475214705439,0.7354602983275577,48.316257345186074,0.06403495555220733,100.0
2005,04019,"Pima County, Arizona",71.10576923076923,2.86700194966324,3.085231300957107,2.4045108117688763,100.0
2005,04021,"Pinal County, Arizona",73.92858309342616,2.1985918187374893,6.651300164707749,0.6084388225029045,100.0
2005,04025,"Yavapai County, Arizona",90.32001559550193,0.6484445538865633,1.7021669539522284,0.8059386029713536,100.0
2005,04027,"Yuma County, Arizona",72.9926675123583,1.5313465268810476,2.089389224826927,1.1069837820618569,100.0
2005,05007,"Benton County, Arkansas",88.23067593615316,0.9047495289454875,1.7109566196695039,2.0596452472224027,100.0
2005,05031,"Craighead County, Arkansas",87.59965831435079,9.918375094912681,0.20168944570994685,0.7118451025056948,100.0
2005,05045,"Faulkner County, Arkansas",86.63601499171969,8.832694151486098,0.2211714460036608,0.1775908655103286,100.0
2005,05051,"Garland County, Arkansas",86.84153124659177,7.1839895299378345,0.7907078198276802,0.860508234267641,100.0
2005,05069,"Jefferson County, Arkansas",45.704057279236274,51.759815363633976,0.3173437540979307,0.9376065461984316,100.0
2005,05119,"Pulaski County, Arkansas",61.194079847250684,33.19617903381589,0.24285802017675598,1.5808103083459413,100.0
2005,05125,"Saline County, Arkansas",93.49966435444172,3.268068919221302,0.18124860147684044,0.834638621615574,100.0
2005,05131,"Sebastian County, Arkansas",79.56212529847285,6.412656966656932,2.402384347138955,3.7397144967618914,100.0
2005,05143,"Washington County, Arkansas",82.78885287802295,2.365395796514941,1.4385797263302114,2.09656156994583,100.0
2005,05145,"White County, Arkansas",92.4171036112547,4.079462373532236,0.26881323388228345,0.2909681707407134,100.0
2005,06001,"Alameda County, California",45.73786962431788,13.273336954411008,0.46907496475077887,24.463944479310605,100.0
2005,06007,"Butte County, California",83.3901614431294,1.2479741460153797,1.3316533373088963,3.495770353520537,100.0
2005,06013,"Contra Costa County, California",60.64873232215848,9.321540488392287,0.35907106507194336,13.318714815705334,100.0
2005,06017,"El Dorado County, California",89.20359519881677,0.7884407531713976,1.2213436486717106,3.7442402867057285,100.0
